,X,journaltitle,pub.year,Gender,Institutional_Affiliation,PhD,author,title,X.1
880,22711,New Literary History,2010,M,Emory,Brandeis,Walter L. Adamson,How Avant-Gardes End—and Begin: Italian Futurism in Historical Perspective,
876,20,PMLA,2005,F,Emory,Brandeis,Rosemarie Garland-Thomson,Disability and Representation,
918,7711,Critical Inquiry,1996,F,Fordham University,Brandeis,Ruth Ben-Ghiat,Envisioning Modernity: Desire and Discipline in the Italian Fascist Film,
1212,21,PMLA,2007,F,Hebrew University of Jerusalem,Brandeis,Sidra Dekoven Ezrahi,To What Shall I Compare You?: Jerusalem as Ground Zero of the Hebrew Imagination,
1343,13010,Critical Inquiry,1978,F,Johns Hopkins,Brandeis,Sharon Cameron,Naming as History: Dickinson's Poems of Definition,
1395,8431,Critical Inquiry,1998,F,Johns Hopkins,Brandeis,Sharon Cameron,The Way of Life by Abandonment: Emerson's Impersonal,
1402,10061,Critical Inquiry,2003,F,Johns Hopkins,Brandeis,Sharon Cameron,The Practice of Attention,
1365,16102,Representations,1986,F,Johns Hopkins,Brandeis,Sharon Cameron,"Representing Grief: Emerson's ""Experience""",
1430,15103,Representations,2011,F,Johns Hopkins,Brandeis,Sharon Cameron,Animal Sentience,
1958,3341,Critical Inquiry,1983,M,Northwestern,Brandeis,Alan Shapiro,Far Lamps at Night: The Poetry of J. V. Cunningham,
1967,4751,Critical Inquiry,1987,M,Northwestern,Brandeis,Alan Shapiro,The New Formalism,
2643,5881,Critical Inquiry,1990,F,Stanford,Brandeis,Cheryl Walker,Feminist Literary Criticism and the Author,
2956,4101,Critical Inquiry,1985,M,UC Berkeley,Brandeis,Abdul R. JanMohamed,The Economy of Manichean Allegory: The Function of Racial Difference in Colonialist Literature,
3371,8182,New Literary History,1993,F,UC Santa Barbara,Brandeis,Shirley Geok-Lin Lim,"Assaying the Gold: Or, Contesting the Ground of Asian American Literature",
3355,24,PMLA,1978,F,UC Santa Barbara,Brandeis,Sharon Cameron,A Loaded Gun: Dickinson and the Dialectic of Rage,
3895,9342,New Literary History,1975,M,University of Colorado,Brandeis,Ronald Sukenick,Twelve Digressions toward a Study of Composition,
3900,9352,New Literary History,1979,M,University of Colorado,Brandeis,Ronald Sukenick,Eight Digressions on the Politics of Language,
4053,25,PMLA,2010,F,University of Hawaii,Brandeis,Noelani Arista,Navigating Uncharted Oceans of Meaning: Kaona as Historical and Interpretive Method,
4316,9291,Critical Inquiry,2000,F,"University of Massachusetts, Amherst",Brandeis,Janice M. Irvine,Doing It with Words: Discourse and the Sex Education Culture Wars,
1834,22,PMLA,2015,F,"University of Massachusetts, Amherst",Brandeis,Laura Doyle,Inter-imperiality and Literary Studies in the Longer Durée,
4385,17102,Representations,1998,F,University of Michigan,Brandeis,Elizabeth Wingrove,Republican Romance,
4566,26,PMLA,2009,F,"University of North Carolina, Greensboro",Brandeis,Karen L. Kilcup,Fresh Leaves: Practicing Environmental Criticism,
4678,4510,Critical Inquiry,1975,F,University of Pennsylvania,Brandeis,Barbara Herrnstein Smith,On the Margins of Discourse,
4685,23510,Critical Inquiry,1980,F,University of Pennsylvania,Brandeis,Barbara Herrnstein Smith,"Narrative Versions, Narrative Theories",
4694,3521,Critical Inquiry,1983,F,University of Pennsylvania,Brandeis,Barbara Herrnstein Smith,Contingencies of Value,
4841,27,PMLA,1998,F,University of Southern California,Brandeis,Maeera Y. Shreiber,The End of Exile: Jewish Identity and Its Diasporic Poetics,
5408,29,PMLA,1983,F,Wayne State University,Brandeis,Renata R. Mautner Wasserman,"The Red and the White: The ""Indian"" Novels of José de Alencar",
5409,28,PMLA,1993,F,Wayne State University,Brandeis,Renata R. Mautner Wasserman,"Mario Vargas Llosa, Euclides da Cunha, and the Strategy of Intertextuality",
5421,30,PMLA,1978,F,Wellesley College,Brandeis,Barbara Leah Harman,"The Fiction of Coherence: George Herbert's ""The Collar""",
53,31,PMLA,1989,F,Arizona State University,Brown,Thaïs E. Morgan,Modern Mimology: The Dream of a Poetic Language,
58,32,PMLA,2008,M,Ateneo de Manila University,Brown,Oscar V. Campomanes,Images of Filipino Racialization in the Anthropological Laboratories of the American Empire: The Case of Daniel Folkmar,
101,4512,New Literary History,1992,M,Boston College,Brown,Jeffrey Louis Decker,Dis-Assembling the Machine in the Garden: Antihumanism and the Critique of American Studies,
143,18102,Representations,1997,M,Bowling Green State University,Brown,Michael E. Staub,"Black Panthers, New Journalism, and the Rewriting of the Sixties",
187,9361,Critical Inquiry,2001,F,Brown,Brown,Lynne Joyrich,Epistemology of the Console,
183,6112,New Literary History,1995,F,Brown,Brown,Xiaoying Wang,"Derrida, Husserl, and the Structural Affinity between the ""Text"" and the Market",
171,33,PMLA,1982,F,Brown,Brown,Mutlu Konuk Blasing,"Whitman's ""Lilacs"" and the Grammars of Time",
185,19102,Representations,1996,F,Brown,Brown,Melani McAlister,"The Common Heritage of Mankind: Race, Nation, and Masculinity in the King Tut Exhibit",
464,39,PMLA,2009,F,Columbia,Brown,Marianne Hirsch,“What We Need Right Now Is to Imagine the Real”: Grace Paley Writing against War,
491,38,PMLA,2014,F,Columbia,Brown,Marianne Hirsch,Presidential Address 2014—Connective Histories in Vulnerable Times,
654,46,PMLA,1994,F,"CUNY, Graduate Center",Brown,Amy Mandelker,"Semiotizing the Sphere: Organicist Theory in Lotman, Bakhtin, and Vernadsky",
870,22811,New Literary History,1994,M,Emory,Brown,Mark A. Sanders,Theorizing the Collaborative Self: The Dynamics of Contour and Content in the Dictated Autobiography,
1044,50,PMLA,1984,F,Harvard,Brown,Mary Wilson Carpenter,The Apocalypse of the Old Testament: Daniel Deronda and the Interpretation of Interpretation,
1162,49,PMLA,2012,M,Harvard,Brown,David Babcock,Professional Subjectivity and the Attenuation of Character in J. M. Coetzee’s Life & Times of Michael K,
1246,4242,New Literary History,2014,F,Hunter College,Brown,Linda Martín Alcoff,Sexual Violations and the Question of Experience,
1293,11771,Critical Inquiry,2007,F,Indiana University,Brown,Jennifer L. Fleissner,Obsessional Modernity,
2145,53,PMLA,2014,F,Ohio State University,Brown,Lisa Voigt,The Traveling Illustrations of Sixteenth-Century Travel Narratives,
2190,56,PMLA,2013,M,Oxford,Brown,Lloyd Pratt,Early American Literature and Its Exclusions,
2326,6571,Critical Inquiry,1992,F,Princeton,Brown,Diana Fuss,Fashion and the Homospectatorial Look,
2333,7791,Critical Inquiry,1996,F,Princeton,Brown,Diana Fuss,"Look Who's Talking, or If Looks Could Kill",
2349,10171,Critical Inquiry,2003,F,Princeton,Brown,Diana Fuss,Corpse Poem,
2382,57,PMLA,1978,M,Providence College,Brown,Rodney Delasanta,Penance and Poetry in the Canterbury Tales,
2525,60,PMLA,2006,M,Saint Louis University,Brown,Paul Acker,"Horror and the Maternal in ""Beowulf""",
2526,13710,Critical Inquiry,1978,M,Saint Mary's College of California,Brown,Tom Samet,"The Modulated Vision: Lionel Trilling's ""Larger Naturalism""""""",
2547,61,PMLA,1999,F,Sarah Lawrence College,Brown,Bella Brodzki,"History, Cultural Memory, and the Tasks of Translation in T. Obinkaram Echewa's I Saw the Sky Catch Fire",
2599,6472,New Literary History,2009,F,Southern Methodist University,Brown,Caroline B. Brettell,"Anthropology, Migration, and Comparative Consciousness",
2793,6982,New Literary History,2001,F,Syracuse University,Brown,Linda Martín Alcoff,Objectivity and Its Politics,
3128,64,PMLA,2010,F,UC Berkeley,Brown,Kaja Silverman,Looking with Leo,
3177,65,PMLA,1982,F,UC Davis,Brown,Louise Schleiner,Providential Improvisation in Measure for Measure,
3357,18710,Critical Inquiry,1979,M,UC Santa Barbara,Brown,David D. Cooper,The Poet as Elaborator: Analytical Psychology as a Critical Paradigm,
3986,9632,New Literary History,1982,M,University of Florida,Brown,Gregory L. Ulmer,Of a Parodic Tone Recently Adopted in Criticism,
3995,9642,New Literary History,1997,M,University of Florida,Brown,Gregory L. Ulmer,I Untied the Camera of Tastes (Who Am I?) the Riddle of Chool (A Reply and Alternative to A. Sahay),
4016,9752,New Literary History,1993,M,University of Geneva,Brown,John G. Blair,Change and Cultures: Reality Presumptions in China and the West,
4022,67,PMLA,1996,M,University of Georgia,Brown,R. Baxter Miller,The Inevitability of the Personal,
4065,9902,New Literary History,2003,F,University of Hong Kong,Brown,Xiaoying Wang,A Time to Remember: The Reinvention of the Communist Hero in Postcommunist China,
4293,69,PMLA,2006,M,University of Maryland,Brown,Gene Jarrett,Marie of the Cabin Club,
4411,70,PMLA,2009,M,University of Michigan,Brown,Enrique Garcia Santo-Tomas,"Fortunes of the Occhiali Politici in Early Modern Spain: Optics, Vision, Points of View",
4510,74,PMLA,1999,M,University of Nevada,Brown,Scott Slovic,Forum on Literatures of the Environment,
4628,75,PMLA,1998,M,University of Ottowa,Brown,David R. Jarraway,O Canada!: The Spectral Lesbian Poetics of Elizabeth Bishop,
4693,11532,New Literary History,1982,M,University of Pennsylvania,Brown,Gerald Prince,Narrative Analysis and Narratology,
4671,76,PMLA,1972,M,University of Pennsylvania,Brown,Gerald Prince,Le Comique dans l'œuvre romanesque de Sartre,
4672,77,PMLA,1972,M,University of Pennsylvania,Brown,Jason P. Rosenblatt,Structural Unity and Temporal Concordance: The War in Heaven in Paradise Lost,
5019,12613,New Literary History,2004,M,University of Tulsa,Brown,Sean Latham,New Age Scholarship: The Work of Criticism in the Age of Digital Reproduction,
5020,78,PMLA,2006,M,University of Tulsa,Brown,Sean Latham,The Rise of Periodical Studies,
5132,12721,New Literary History,2002,M,University of Virginia,Brown,Dell Upton,Architecture in Everyday Life,
5446,20102,Representations,1990,M,Wesleyan University,Brown,Richard Slotkin,The Continuity of Forms: Myth and Genre in Warner Brothers' The Charge of the Light Brigade,
5461,14272,New Literary History,1995,F,Wheaton College,Brown,Beverly Lyon Clark,"Domesticating the School Story, Regendering a Genre: Alcott's ""Little Men""",
5462,82,PMLA,1999,F,Wheaton College,Brown,Mary Beth Tierney-Tello,"Testimony, Ethics, and the Aesthetic in Diamela Eltit",
5493,84,PMLA,1971,M,Yale,Brown,Heinz D. Osterle,"Hermann Broch, Die Schlafwandler: Revolution and Apocalypse",
5565,83,PMLA,1985,F,Yale,Brown,Linda H. Peterson,Newman's Apologia pro vita sua and the Traditions of the English Spiritual Autobiography,
4361,88,PMLA,1989,F,University of Michigan,Bryn Mawr College,Noël M. Valis,The Perfect Copy: Clarín's Su único hijo and the Flaubertian Connection,
5450,89,PMLA,1971,F,West Chester University,Bryn Mawr College,Madelyn Gutwirth,"Madame de Staël, Rousseau, and the Woman Question",
5460,90,PMLA,1975,F,Wheaton College,Bryn Mawr College,Sheila Shaw,The Rape of Gulliver: Case Study of a Source,
3564,91,PMLA,2008,F,University of Alberta,Cairo University,Iman Mersal,Eliminating Diasporic Identities,
98,24210,Critical Inquiry,1981,M,Birkbeck University of London,Cambridge,Roger Scruton,Photography and Representation,
240,6431,Critical Inquiry,1992,M,Cambridge,Cambridge,Simon Schaffer,Self Evidence,
241,7081,Critical Inquiry,1994,M,Cambridge,Cambridge,Simon Schaffer,Babbage's Intelligence: Calculating Engines and the Factory System,
244,11361,Critical Inquiry,2006,M,Cambridge,Cambridge,Simon Goldhill,On Knowingness,
1732,11801,Critical Inquiry,2007,M,Cambridge,Cambridge,John Forrester,On Kuhn's Case,
234,8212,New Literary History,1977,M,Cambridge,Cambridge,David Simpson,Putting One's House in Order: The Career of the Self in Descartes' Method,
237,8312,New Literary History,1984,F,Cambridge,Cambridge,Jill Mann,Proverbial Wisdom in the Ysengrimus,
246,93,PMLA,2010,M,Cambridge,Cambridge,Simon Jarvis,For a Poetics of Verse,
250,92,PMLA,2014,M,Cambridge,Cambridge,Simon Goldhill,"The Ends of Tragedy: Schelling, Hegel, and Oedipus",
248,21102,Representations,2012,M,Cambridge,Cambridge,Simon Goldhill,A Writer's Things,
1744,25102,Representations,2007,M,Cambridge,Cambridge,Simon Schaffer,On Seeing Me Write,
320,11741,Critical Inquiry,2007,M,Collège de France,Cambridge,Ian Hacking,Our Neo-Cartesian Bodies in Parts,
317,11712,New Literary History,1998,M,Collège de France,Cambridge,Brian Stock,Ethical Values and the Literary Imagination in the Later Ancient World,
321,11812,New Literary History,2008,M,Collège de France,Cambridge,Brian Stock,Toward Interpretive Pluralism: Literary History and the History of Reading,
398,94,PMLA,1996,M,Columbia,Cambridge,David Simpson,Problems with Personal Criticism,
414,22102,Representations,2001,F,Columbia,Cambridge,Lydia Goehr,Radical Modernism and the Failure of Style,
541,4291,Critical Inquiry,1986,M,Cornell,Cambridge,"Henry Louis Gates, Jr.",Talkin' That Talk,
549,23102,Representations,1988,M,Cornell,Cambridge,"Henry Louis Gates, Jr.",The Trope of a New Negro and the Reconstruction of the Image of the Black,
747,6131,Critical Inquiry,1991,M,Duke,Cambridge,Kwame Anthony Appiah,Is the Post- in Postmodernism the Post- in Postcolonial?,
886,23311,New Literary History,1983,M,ETH Zürich,Cambridge,Brian Vickers,Epideictic and Epic in the Renaissance,
1069,6161,Critical Inquiry,1991,M,Harvard,Cambridge,"Henry Louis Gates, Jr.",Critical Fanonism,
1098,8101,Critical Inquiry,1997,M,Harvard,Cambridge,"Henry Louis Gates, Jr.",Harlem on Our Minds,
1099,8111,Critical Inquiry,1997,M,Harvard,Cambridge,Kwame Anthony Appiah,Cosmopolitan Patriots,
1117,9401,Critical Inquiry,2001,M,Harvard,Cambridge,Kwame Anthony Appiah,"Liberalism, Individuality, and Identity",
1139,12131,Critical Inquiry,2008,M,Harvard,Cambridge,Henry Louis Gates Jr.,Third World of Theory: Enlightenment's Esau,
1175,15471,Critical Inquiry,2015,M,Harvard,Cambridge,Henry Louis Gates Jr.,Frederick Douglassﾒs Camera Obscura: Representing the Antislave ﾓClothed and in Their Own Formﾔﾠ,
1168,29111,New Literary History,2013,M,Harvard,Cambridge,James Simpson,Cognition is Recognition: Literary Knowledge and Textual “Face”,
1142,97,PMLA,2008,M,Harvard,Cambridge,"Henry Louise Gates, Jr.","Reading “Race,” Writing, and Difference",
1163,96,PMLA,2012,M,Harvard,Cambridge,David Blackbourn,“The Horologe of Time”: Periodization in History,
1205,9111,Critical Inquiry,2000,M,Hebrew University of Jerusalem,Cambridge,Dan Rabinowitz,"Postnational Palestine/Israel? Globalization, Diaspora, Transnationalism, and the Israeli-Palestinian Conflict",
1408,98,PMLA,2005,M,Johns Hopkins,Cambridge,Simon During,"Forum: Responses to Bill Brown's ""The Dark Wood of Postmodernity (Space, Faith, Allegory)""",
1449,3802,New Literary History,2004,M,King's College London,Cambridge,Michael Silk,"Nietzsche, Decadence, and the Greeks",
1460,4252,New Literary History,2013,M,Lancaster University,Cambridge,Terry Eagleton,"Bodies, Artworks, and Use Values",
1475,11451,Critical Inquiry,2006,F,London Middle East Institute,Cambridge,Ziba Mir-Hosseini,Muslim Women's Quest for Equality,
1610,9441,Critical Inquiry,2001,F,Mount Holyoke College,Cambridge,Debbora Battaglia,Multiplicities: An Anthropologist's Thoughts on Replicants and Clones in Popular Film,
1605,4182,New Literary History,1992,F,Mount Holyoke College,Cambridge,Debbora Battaglia,Displacing Culture: A Joke of Significance in Urban Papua New Guinea,
1913,26102,Representations,1993,F,National Humanities Center,Cambridge,Luise White,"Cars Out of Place: Vampires, Technology, and Labor in East and Central Africa",
1962,3711,Critical Inquiry,1984,M,Northwestern,Cambridge,David Simpson,"Criticism, Politics, and Style in Wordsworth's Poetry",
2175,5161,Critical Inquiry,1988,M,Oxford,Cambridge,Terry Eagleton,Two Approaches in the Sociology of Literature,
2184,11551,Critical Inquiry,2006,M,Oxford,Cambridge,Jas' Elsner,From Empirical Evidence to the Big Picture,
2185,12901,Critical Inquiry,2009,M,Oxford,Cambridge,Jas' Elsner,Beyond Compare,
2188,14141,Critical Inquiry,2012,M,Oxford,Cambridge,Jas' Elsner,The Genesis of Iconology,
2174,5422,New Literary History,1985,M,Oxford,Cambridge,Terry Eagleton,Brecht and Rhetoric,
2179,5392,New Literary History,1997,M,Oxford,Cambridge,Terry Eagleton,The Contradictions of Postmodernism,
2180,5413,New Literary History,2000,M,Oxford,Cambridge,Terry Eagleton,Base and Superstructure Revisited,
2181,5402,New Literary History,2001,M,Oxford,Cambridge,Terry Eagleton,"God, the Universe, Art, and Communism",
2189,5442,New Literary History,2013,F,Oxford,Cambridge,Helen Small,Fully Accountable,
2361,100,PMLA,2007,M,Princeton,Cambridge,Michael Wood,The Last Night of All,
2370,27102,Representations,2010,M,Princeton,Cambridge,Harold James,1929: The New York Stock Market Crash,
2395,101,PMLA,1986,M,Queen Mary University of London,Cambridge,Paul Julian Smith,"Barthes, Góngora, and Non-Sense",
2399,102,PMLA,1973,M,Queen's University,Cambridge,A. C. Wright,Satan in Moscow: An Approach to Bulgakov's The Master and Margarita,
2471,6192,New Literary History,1990,M,Rutgers,Cambridge,Derek Attridge,Rhythm in English Poetry,
2480,104,PMLA,1996,M,Rutgers,Cambridge,Derek Attridge,The Role of Theory,
2491,103,PMLA,1999,M,Rutgers,Cambridge,Derek Attridge,"Innovation, Literature, Ethics: Relating to the Other",
2573,105,PMLA,2004,F,Skidmore College,Cambridge,Susan Kress,Women's Speech and Silence in Hartmann von Aue's Erec,
2605,28102,Representations,2000,M,St. John's College,Cambridge,Philip Connell,"Bibliomania: Book Collecting, Cultural Politics, and the Rise of Literary Heritage in Romantic Britain",
2716,6572,New Literary History,2014,M,Stanford,Cambridge,Ian Hodder,The Entanglements of Humans and Things: A Long-Term View,
2804,11161,Critical Inquiry,2005,M,Tel Aviv University,Cambridge,Dan Rabinowitz,"Belated Occupation, Advanced Militarization",
2806,13341,Critical Inquiry,2010,M,Tel Aviv University,Cambridge,Dan Rabinowitz,The Right to Refuse,
2827,7103,New Literary History,1990,F,Texas A&M University,Cambridge,Margaret J. M. Ezell,The Myth of Judith Shakespeare: Creating the Canon of Women's Literature,
2862,7202,New Literary History,2015,M,Trinity College,Cambridge,Alexander Freer,Rhythm as Coping,
3095,7242,New Literary History,2006,M,UC Berkeley,Cambridge,Benjamin Griffin,Moving Tales: Narrative Drift in Oral Culture and Scripted Theater,
3053,106,PMLA,1997,M,UC Berkeley,Cambridge,David Lloyd,Interconnections,
2948,29102,Representations,1984,M,UC Berkeley,Cambridge,David Lloyd,Valéry on Value: The Political Economy of Poetics,
2993,30102,Representations,1989,M,UC Berkeley,Cambridge,David Lloyd,Kant's Examples,
3259,8801,Critical Inquiry,1999,M,UC Irvine,Cambridge,David Simpson,Tourism and Titanomania,
1751,12171,Critical Inquiry,2008,F,UC Santa Cruz,Cambridge,Ian Hacking,The Suicide Weapon,
3544,8632,New Literary History,1981,M,University College London,Cambridge,J. P. Stern,Words Are Also Deeds: Some Observations on Austrian Language Consciousness,
3619,8982,New Literary History,1987,F,University of Bristol,Cambridge,Rowena Fowler,Feminist Criticism: The Common Pursuit,
3620,8992,New Literary History,2003,M,University of Bristol,Cambridge,Stephen Bann,Questions of Genre in Early Nineteenth-Century French Painting,
3621,9002,New Literary History,2004,M,University of Bristol,Cambridge,Neville Morley,Decadence as a Theory of History,
3640,3193,Representations,1996,M,University of Cape Town,Cambridge,Martin Hall,Heads and Tales,
1801,13251,Critical Inquiry,2010,M,University of Chicago,Cambridge,John Wilkinson,The Glass Enclosure,
3681,18910,Critical Inquiry,1979,M,University of Chicago,Cambridge,Stephen Toulmin,The Inwardness of Mental Life,
3695,30610,Critical Inquiry,1982,M,University of Chicago,Cambridge,Stephen Toulmin,The Construal of Reality: Criticism in Modern and Postmodern Science,
3732,5971,Critical Inquiry,1990,M,University of Chicago,Cambridge,Michael Camille,"The ""Très Riches Heures"""": An Illuminated Manuscript in the Age of Mechanical Reproduction""",
3796,1065,Critical Inquiry,2004,F,University of Chicago,Cambridge,Danielle Allen,On the Sociological Imagination,
3905,5281,Critical Inquiry,1988,M,University of Colorado,Cambridge,David Simpson,"Literary Criticism and the Return to ""History""""""",
3956,9442,New Literary History,1984,M,University of East Anglia,Cambridge,David Punter,"Theory, Writing, Experience",
3957,9452,New Literary History,1984,M,University of East Anglia,Cambridge,David Punter,"Blake, Trauma and the Female",
4072,107,PMLA,1972,M,University of Hull,Cambridge,T. McAlindon,"Critical Comment in Response to T. McAlindon's ""Language, Style, and Meaning in Troilus and Cressida""",
4181,10113,New Literary History,1991,M,University of Kent,Cambridge,Stephen Bann,Inscription and Identity in the Representation of the Past,
4182,10091,New Literary History,1993,M,University of Kent,Cambridge,Stephen Bann,Pop Art and Genre,
4183,10122,New Literary History,1994,M,University of Kent,Cambridge,Stephen Bann,"Shrines, Gardens, Utopias",
4184,10103,New Literary History,1998,M,University of Kent,Cambridge,Stephen Bann,Face-to-Face with History,
4236,4521,Critical Inquiry,1986,M,University of London,Cambridge,Geoffrey Ward,"Dying to Write: Maurice Blanchot and Tennyson's ""Tithonus""""""",
4246,111,PMLA,2009,M,University of London,Cambridge,Peter Howarth,"Housman’s Dirty Postcards: Poetry, Modernism, and Masochism",
4265,10501,New Literary History,1991,F,University of Manchester,Cambridge,Marilyn Strathern,Partners and Consumers: Making Relations Visible,
4324,3214,Representations,1988,M,University of Melbourne,Cambridge,Simon During,"The Strange Case of Monomania: Patriarchy in Literature, Murder in Middlemarch, Drowning in Daniel Deronda",
4330,5651,Critical Inquiry,1989,M,University of Mexico City,Cambridge,Simon During,After Death: Raymond Williams in the Modern Era,
4336,8251,Critical Inquiry,1997,M,University of Miami,Cambridge,Simon During,Popular Culture on a Global Scale: A Challenge for Cultural Studies?,
