"source","target","weight","type"
"think","sens",105,"undirected"
"look","sens",81,"undirected"
"mind","sens",73,"undirected"
"see","various",25,"undirected"
"feel","various",24,"undirected"
"think","various",26,"undirected"
"look","various",25,"undirected"
"mind","various",18,"undirected"
"see","partial",29,"undirected"
"feel","partial",20,"undirected"
"think","partial",18,"undirected"
"look","partial",12,"undirected"
"mind","partial",7,"undirected"
"see","percept",17,"undirected"
"feel","percept",18,"undirected"
"think","percept",9,"undirected"
"look","percept",19,"undirected"
"mind","percept",10,"undirected"
"see","think",405,"undirected"
"feel","think",286,"undirected"
"think","think",563,"undirected"
"look","think",343,"undirected"
"mind","think",122,"undirected"
"see","warmth",8,"undirected"
"feel","warmth",19,"undirected"
"think","warmth",19,"undirected"
"look","warmth",11,"undirected"
"mind","warmth",2,"undirected"
"see","chang",185,"undirected"
"feel","chang",142,"undirected"
"think","chang",160,"undirected"
"look","chang",152,"undirected"
"mind","chang",98,"undirected"
"see","shock",49,"undirected"
"feel","shock",50,"undirected"
"think","shock",43,"undirected"
"look","shock",33,"undirected"
"mind","shock",26,"undirected"
"see","attent",97,"undirected"
"feel","attent",112,"undirected"
"think","attent",124,"undirected"
"look","attent",113,"undirected"
"mind","attent",43,"undirected"
"see","luxuri",16,"undirected"
"feel","luxuri",14,"undirected"
"think","luxuri",13,"undirected"
"look","luxuri",7,"undirected"
"mind","luxuri",10,"undirected"
"see","memori",39,"undirected"
"feel","memori",31,"undirected"
"think","memori",50,"undirected"
"look","memori",33,"undirected"
"mind","memori",36,"undirected"
"see","past",72,"undirected"
"feel","past",54,"undirected"
"think","past",102,"undirected"
"look","past",54,"undirected"
"mind","past",49,"undirected"
"see","pleasur",169,"undirected"
"feel","pleasur",146,"undirected"
"think","pleasur",165,"undirected"
"look","pleasur",97,"undirected"
"mind","pleasur",47,"undirected"
"see","sad",90,"undirected"
"feel","sad",71,"undirected"
"think","sad",119,"undirected"
"look","sad",122,"undirected"
"mind","sad",26,"undirected"
"see","wept",12,"undirected"
"feel","wept",25,"undirected"
"think","wept",30,"undirected"
"look","wept",20,"undirected"
"mind","wept",4,"undirected"
"see","gave",160,"undirected"
"feel","gave",128,"undirected"
"think","gave",167,"undirected"
"look","gave",178,"undirected"
"mind","gave",64,"undirected"
"see","resign",15,"undirected"
"feel","resign",20,"undirected"
"think","resign",20,"undirected"
"look","resign",16,"undirected"
"mind","resign",19,"undirected"
"see","kind",168,"undirected"
"feel","kind",243,"undirected"
"think","kind",234,"undirected"
"look","kind",184,"undirected"
"mind","kind",72,"undirected"
"see","prefer",23,"undirected"
"feel","prefer",44,"undirected"
"think","prefer",51,"undirected"
"look","prefer",22,"undirected"
"mind","prefer",19,"undirected"
"see","spirit",126,"undirected"
"feel","spirit",145,"undirected"
"think","spirit",137,"undirected"
"look","spirit",98,"undirected"
"mind","spirit",67,"undirected"
"see","subdu",19,"undirected"
"feel","subdu",29,"undirected"
"think","subdu",19,"undirected"
"look","subdu",16,"undirected"
"mind","subdu",10,"undirected"
"see","cruel",20,"undirected"
"feel","cruel",28,"undirected"
"think","cruel",33,"undirected"
"look","cruel",13,"undirected"
"mind","cruel",10,"undirected"
"see","last",354,"undirected"
"feel","last",242,"undirected"
"think","last",324,"undirected"
"look","last",299,"undirected"
"mind","last",106,"undirected"
"see","alway",183,"undirected"
"feel","alway",179,"undirected"
"think","alway",270,"undirected"
"look","alway",158,"undirected"
"mind","alway",57,"undirected"
"see","excit",83,"undirected"
"feel","excit",105,"undirected"
"think","excit",86,"undirected"
"look","excit",67,"undirected"
"mind","excit",44,"undirected"
"see","glow",33,"undirected"
"feel","glow",53,"undirected"
"think","glow",33,"undirected"
"look","glow",52,"undirected"
"mind","glow",11,"undirected"
"see","real",58,"undirected"
"feel","real",57,"undirected"
"think","real",49,"undirected"
"look","real",33,"undirected"
"mind","real",21,"undirected"
"see","fade",23,"undirected"
"feel","fade",14,"undirected"
"think","fade",14,"undirected"
"look","fade",29,"undirected"
"mind","fade",9,"undirected"
"see","happi",159,"undirected"
"feel","happi",209,"undirected"
"think","happi",255,"undirected"
"look","happi",142,"undirected"
"mind","happi",95,"undirected"
"see","listen",118,"undirected"
"feel","listen",105,"undirected"
"think","listen",137,"undirected"
"look","listen",127,"undirected"
"mind","listen",56,"undirected"
"see","sigh",63,"undirected"
"feel","sigh",54,"undirected"
"think","sigh",110,"undirected"
"look","sigh",84,"undirected"
"mind","sigh",20,"undirected"
"see","express",228,"undirected"
"feel","express",258,"undirected"
"think","express",174,"undirected"
"look","express",304,"undirected"
"mind","express",77,"undirected"
"see","flew",11,"undirected"
"feel","flew",12,"undirected"
"think","flew",20,"undirected"
"look","flew",12,"undirected"
"mind","flew",4,"undirected"
"see","belief",17,"undirected"
"feel","belief",21,"undirected"
"think","belief",15,"undirected"
"look","belief",9,"undirected"
"mind","belief",12,"undirected"
"see","possibl",130,"undirected"
"feel","possibl",125,"undirected"
"think","possibl",204,"undirected"
"look","possibl",90,"undirected"
"mind","possibl",90,"undirected"
"see","brighten",5,"undirected"
"feel","brighten",3,"undirected"
"think","brighten",11,"undirected"
"look","brighten",15,"undirected"
"mind","brighten",5,"undirected"
"see","cold",63,"undirected"
"feel","cold",102,"undirected"
"think","cold",80,"undirected"
"look","cold",80,"undirected"
"mind","cold",17,"undirected"
"see","feel",303,"undirected"
"feel","feel",366,"undirected"
"think","feel",488,"undirected"
"look","feel",236,"undirected"
"mind","feel",168,"undirected"
"see","love",347,"undirected"
"feel","love",433,"undirected"
"think","love",625,"undirected"
"look","love",323,"undirected"
"mind","love",156,"undirected"
"see","even",414,"undirected"
"feel","even",401,"undirected"
"think","even",496,"undirected"
"look","even",314,"undirected"
"mind","even",186,"undirected"
"see","gratitud",21,"undirected"
"feel","gratitud",76,"undirected"
"think","gratitud",34,"undirected"
"look","gratitud",32,"undirected"
"mind","gratitud",15,"undirected"
"see","whatev",28,"undirected"
"feel","whatev",48,"undirected"
"think","whatev",73,"undirected"
"look","whatev",36,"undirected"
"mind","whatev",34,"undirected"
"see","quit",190,"undirected"
"feel","quit",194,"undirected"
"think","quit",266,"undirected"
"look","quit",188,"undirected"
"mind","quit",79,"undirected"
"see","sister",239,"undirected"
"feel","sister",171,"undirected"
"think","sister",235,"undirected"
"look","sister",154,"undirected"
"mind","sister",65,"undirected"
"see","agit",67,"undirected"
"feel","agit",65,"undirected"
"think","agit",53,"undirected"
"look","agit",63,"undirected"
"mind","agit",59,"undirected"
"see","indiffer",51,"undirected"
"feel","indiffer",57,"undirected"
"think","indiffer",47,"undirected"
"look","indiffer",44,"undirected"
"mind","indiffer",23,"undirected"
"see","breakfast",41,"undirected"
"feel","breakfast",16,"undirected"
"think","breakfast",42,"undirected"
"look","breakfast",32,"undirected"
"mind","breakfast",7,"undirected"
"see","lest",39,"undirected"
"feel","lest",34,"undirected"
"think","lest",45,"undirected"
"look","lest",32,"undirected"
"mind","lest",15,"undirected"
"see","sensibl",36,"undirected"
"feel","sensibl",64,"undirected"
"think","sensibl",37,"undirected"
"look","sensibl",20,"undirected"
"mind","sensibl",30,"undirected"
"see","impati",71,"undirected"
"feel","impati",47,"undirected"
"think","impati",60,"undirected"
"look","impati",61,"undirected"
"mind","impati",25,"undirected"
"see","imposs",44,"undirected"
"feel","imposs",72,"undirected"
"think","imposs",74,"undirected"
"look","imposs",30,"undirected"
"mind","imposs",25,"undirected"
"see","interrupt",44,"undirected"
"feel","interrupt",35,"undirected"
"think","interrupt",56,"undirected"
"look","interrupt",45,"undirected"
"mind","interrupt",33,"undirected"
"see","confus",52,"undirected"
"feel","confus",44,"undirected"
"think","confus",62,"undirected"
"look","confus",45,"undirected"
"mind","confus",36,"undirected"
"see","recal",27,"undirected"
"feel","recal",26,"undirected"
"think","recal",41,"undirected"
"look","recal",35,"undirected"
"mind","recal",29,"undirected"
"see","determin",101,"undirected"
"feel","determin",67,"undirected"
"think","determin",95,"undirected"
"look","determin",66,"undirected"
"mind","determin",45,"undirected"
"see","disappoint",68,"undirected"
"feel","disappoint",112,"undirected"
"think","disappoint",88,"undirected"
"look","disappoint",67,"undirected"
"mind","disappoint",23,"undirected"
"see","solitud",13,"undirected"
"feel","solitud",22,"undirected"
"think","solitud",24,"undirected"
"look","solitud",9,"undirected"
"mind","solitud",15,"undirected"
"see","sought",28,"undirected"
"feel","sought",34,"undirected"
"think","sought",35,"undirected"
"look","sought",31,"undirected"
"mind","sought",28,"undirected"
"see","attract",23,"undirected"
"feel","attract",34,"undirected"
"think","attract",26,"undirected"
"look","attract",25,"undirected"
"mind","attract",15,"undirected"
"see","chair",80,"undirected"
"feel","chair",29,"undirected"
"think","chair",54,"undirected"
"look","chair",107,"undirected"
"mind","chair",15,"undirected"
"see","composur",20,"undirected"
"feel","composur",22,"undirected"
"think","composur",23,"undirected"
"look","composur",25,"undirected"
"mind","composur",12,"undirected"
"see","curios",75,"undirected"
"feel","curios",57,"undirected"
"think","curios",43,"undirected"
"look","curios",44,"undirected"
"mind","curios",14,"undirected"
"see","shut",38,"undirected"
"feel","shut",24,"undirected"
"think","shut",29,"undirected"
"look","shut",33,"undirected"
"mind","shut",14,"undirected"
"see","unusu",45,"undirected"
"feel","unusu",29,"undirected"
"think","unusu",28,"undirected"
"look","unusu",45,"undirected"
"mind","unusu",10,"undirected"
"see","go",621,"undirected"
"feel","go",276,"undirected"
"think","go",587,"undirected"
"look","go",341,"undirected"
"mind","go",134,"undirected"
"see","bitter",35,"undirected"
"feel","bitter",82,"undirected"
"think","bitter",92,"undirected"
"look","bitter",36,"undirected"
"mind","bitter",29,"undirected"
"see","sorrow",70,"undirected"
"feel","sorrow",94,"undirected"
"think","sorrow",93,"undirected"
"look","sorrow",89,"undirected"
"mind","sorrow",42,"undirected"
"see","woman",185,"undirected"
"feel","woman",136,"undirected"
"think","woman",200,"undirected"
"look","woman",125,"undirected"
"mind","woman",69,"undirected"
"see","insens",12,"undirected"
"feel","insens",24,"undirected"
"think","insens",21,"undirected"
"look","insens",11,"undirected"
"mind","insens",13,"undirected"
"see","pleas",151,"undirected"
"feel","pleas",72,"undirected"
"think","pleas",158,"undirected"
"look","pleas",93,"undirected"
"mind","pleas",30,"undirected"
"see","shade",30,"undirected"
"feel","shade",9,"undirected"
"think","shade",22,"undirected"
"look","shade",36,"undirected"
"mind","shade",12,"undirected"
"see","temper",20,"undirected"
"feel","temper",38,"undirected"
"think","temper",52,"undirected"
"look","temper",10,"undirected"
"mind","temper",24,"undirected"
"see","inspir",12,"undirected"
"feel","inspir",33,"undirected"
"think","inspir",24,"undirected"
"look","inspir",9,"undirected"
"mind","inspir",16,"undirected"
"see","involuntarili",18,"undirected"
"feel","involuntarili",22,"undirected"
"think","involuntarili",30,"undirected"
"look","involuntarili",35,"undirected"
"mind","involuntarili",5,"undirected"
"see","music",24,"undirected"
"feel","music",23,"undirected"
"think","music",29,"undirected"
"look","music",24,"undirected"
"mind","music",18,"undirected"
"see","tast",42,"undirected"
"feel","tast",50,"undirected"
"think","tast",47,"undirected"
"look","tast",22,"undirected"
"mind","tast",35,"undirected"
"see","consol",24,"undirected"
"feel","consol",27,"undirected"
"think","consol",32,"undirected"
"look","consol",15,"undirected"
"mind","consol",17,"undirected"
"see","meant",52,"undirected"
"feel","meant",35,"undirected"
"think","meant",65,"undirected"
"look","meant",56,"undirected"
"mind","meant",12,"undirected"
"see","piti",78,"undirected"
"feel","piti",76,"undirected"
"think","piti",79,"undirected"
"look","piti",84,"undirected"
"mind","piti",27,"undirected"
"see","soften",21,"undirected"
"feel","soften",32,"undirected"
"think","soften",25,"undirected"
"look","soften",33,"undirected"
"mind","soften",26,"undirected"
"see","live",151,"undirected"
"feel","live",85,"undirected"
"think","live",174,"undirected"
"look","live",73,"undirected"
"mind","live",59,"undirected"
"see","awaken",22,"undirected"
"feel","awaken",43,"undirected"
"think","awaken",37,"undirected"
"look","awaken",21,"undirected"
"mind","awaken",30,"undirected"
"see","imag",36,"undirected"
"feel","imag",19,"undirected"
"think","imag",40,"undirected"
"look","imag",22,"undirected"
"mind","imag",49,"undirected"
"see","sensat",23,"undirected"
"feel","sensat",52,"undirected"
"think","sensat",31,"undirected"
"look","sensat",16,"undirected"
"mind","sensat",21,"undirected"
"see","vision",41,"undirected"
"feel","vision",21,"undirected"
"think","vision",27,"undirected"
"look","vision",16,"undirected"
"mind","vision",29,"undirected"
"see","voic",232,"undirected"
"feel","voic",171,"undirected"
"think","voic",236,"undirected"
"look","voic",278,"undirected"
"mind","voic",57,"undirected"
"see","stronger",15,"undirected"
"feel","stronger",32,"undirected"
"think","stronger",10,"undirected"
"look","stronger",10,"undirected"
"mind","stronger",9,"undirected"
"see","compos",23,"undirected"
"feel","compos",24,"undirected"
"think","compos",28,"undirected"
"look","compos",18,"undirected"
"mind","compos",25,"undirected"
"see","remembr",33,"undirected"
"feel","remembr",17,"undirected"
"think","remembr",39,"undirected"
"look","remembr",30,"undirected"
"mind","remembr",38,"undirected"
"see","wonder",168,"undirected"
"feel","wonder",116,"undirected"
"think","wonder",260,"undirected"
"look","wonder",193,"undirected"
"mind","wonder",69,"undirected"
"see","life",187,"undirected"
