"source","target","weight","type"
"look","therefor",37,"undirected"
"mind","therefor",31,"undirected"
"see","trembl",90,"undirected"
"feel","trembl",83,"undirected"
"think","trembl",91,"undirected"
"look","trembl",93,"undirected"
"mind","trembl",32,"undirected"
"see","watch",191,"undirected"
"feel","watch",94,"undirected"
"think","watch",124,"undirected"
"look","watch",137,"undirected"
"mind","watch",49,"undirected"
"see","cavern",2,"undirected"
"feel","cavern",3,"undirected"
"look","cavern",2,"undirected"
"see","depriv",12,"undirected"
"feel","depriv",6,"undirected"
"think","depriv",9,"undirected"
"look","depriv",6,"undirected"
"mind","depriv",10,"undirected"
"see","discoveri",18,"undirected"
"feel","discoveri",19,"undirected"
"think","discoveri",14,"undirected"
"look","discoveri",8,"undirected"
"mind","discoveri",11,"undirected"
"see","dread",97,"undirected"
"feel","dread",109,"undirected"
"think","dread",114,"undirected"
"look","dread",56,"undirected"
"mind","dread",47,"undirected"
"see","expect",186,"undirected"
"feel","expect",100,"undirected"
"think","expect",112,"undirected"
"look","expect",137,"undirected"
"mind","expect",54,"undirected"
"see","marqui",33,"undirected"
"feel","marqui",11,"undirected"
"think","marqui",24,"undirected"
"look","marqui",16,"undirected"
"mind","marqui",21,"undirected"
"see","mind",324,"undirected"
"feel","mind",312,"undirected"
"think","mind",511,"undirected"
"look","mind",206,"undirected"
"mind","mind",65,"undirected"
"see","momentari",20,"undirected"
"feel","momentari",25,"undirected"
"think","momentari",7,"undirected"
"look","momentari",19,"undirected"
"mind","momentari",9,"undirected"
"see","oper",7,"undirected"
"feel","oper",8,"undirected"
"think","oper",4,"undirected"
"look","oper",7,"undirected"
"mind","oper",12,"undirected"
"see","passag",31,"undirected"
"feel","passag",15,"undirected"
"think","passag",21,"undirected"
"look","passag",29,"undirected"
"mind","passag",12,"undirected"
"see","power",109,"undirected"
"feel","power",147,"undirected"
"think","power",137,"undirected"
"look","power",70,"undirected"
"mind","power",88,"undirected"
"see","refug",9,"undirected"
"feel","refug",2,"undirected"
"think","refug",6,"undirected"
"look","refug",4,"undirected"
"mind","refug",7,"undirected"
"see","seek",28,"undirected"
"feel","seek",31,"undirected"
"think","seek",35,"undirected"
"look","seek",25,"undirected"
"mind","seek",18,"undirected"
"see","stood",184,"undirected"
"feel","stood",68,"undirected"
"think","stood",122,"undirected"
"look","stood",284,"undirected"
"mind","stood",35,"undirected"
"see","strong",75,"undirected"
"feel","strong",163,"undirected"
"think","strong",79,"undirected"
"look","strong",73,"undirected"
"mind","strong",73,"undirected"
"see","unclos",7,"undirected"
"feel","unclos",1,"undirected"
"think","unclos",5,"undirected"
"look","unclos",6,"undirected"
"mind","unclos",1,"undirected"
"see","upon",626,"undirected"
"feel","upon",460,"undirected"
"think","upon",668,"undirected"
"look","upon",863,"undirected"
"mind","upon",318,"undirected"
"see","address",62,"undirected"
"feel","address",37,"undirected"
"think","address",69,"undirected"
"look","address",52,"undirected"
"mind","address",29,"undirected"
"see","air",109,"undirected"
"feel","air",73,"undirected"
"think","air",97,"undirected"
"look","air",131,"undirected"
"mind","air",28,"undirected"
"see","corrod",2,"undirected"
"think","corrod",2,"undirected"
"look","corrod",1,"undirected"
"see","count",66,"undirected"
"feel","count",30,"undirected"
"think","count",42,"undirected"
"look","count",48,"undirected"
"mind","count",26,"undirected"
"see","eas",21,"undirected"
"feel","eas",32,"undirected"
"think","eas",29,"undirected"
"look","eas",24,"undirected"
"mind","eas",31,"undirected"
"see","fanci",125,"undirected"
"feel","fanci",63,"undirected"
"think","fanci",180,"undirected"
"look","fanci",84,"undirected"
"mind","fanci",48,"undirected"
"see","heart",360,"undirected"
"feel","heart",543,"undirected"
"think","heart",494,"undirected"
"look","heart",255,"undirected"
"mind","heart",131,"undirected"
"see","impass",6,"undirected"
"feel","impass",4,"undirected"
"think","impass",4,"undirected"
"look","impass",4,"undirected"
"mind","impass",4,"undirected"
"see","preserv",17,"undirected"
"feel","preserv",13,"undirected"
"think","preserv",18,"undirected"
"look","preserv",15,"undirected"
"mind","preserv",6,"undirected"
"see","requir",27,"undirected"
"feel","requir",33,"undirected"
"think","requir",47,"undirected"
"look","requir",17,"undirected"
"mind","requir",18,"undirected"
"see","restless",20,"undirected"
"feel","restless",8,"undirected"
"think","restless",25,"undirected"
"look","restless",14,"undirected"
"mind","restless",14,"undirected"
"see","saw",352,"undirected"
"feel","saw",266,"undirected"
"think","saw",311,"undirected"
"look","saw",525,"undirected"
"mind","saw",112,"undirected"
"see","scene",68,"undirected"
"feel","scene",55,"undirected"
"think","scene",76,"undirected"
"look","scene",66,"undirected"
"mind","scene",77,"undirected"
"see","wander",41,"undirected"
"feel","wander",13,"undirected"
"think","wander",53,"undirected"
"look","wander",22,"undirected"
"mind","wander",32,"undirected"
"see","furi",8,"undirected"
"feel","furi",3,"undirected"
"think","furi",3,"undirected"
"look","furi",6,"undirected"
"mind","furi",1,"undirected"
"see","jealous",19,"undirected"
"feel","jealous",21,"undirected"
"think","jealous",24,"undirected"
"look","jealous",14,"undirected"
"mind","jealous",10,"undirected"
"see","alarm",65,"undirected"
"feel","alarm",57,"undirected"
"think","alarm",58,"undirected"
"look","alarm",69,"undirected"
"mind","alarm",33,"undirected"
"see","breast",8,"undirected"
"feel","breast",16,"undirected"
"think","breast",15,"undirected"
"look","breast",9,"undirected"
"mind","breast",3,"undirected"
"see","circumst",81,"undirected"
"feel","circumst",83,"undirected"
"think","circumst",92,"undirected"
"look","circumst",51,"undirected"
"mind","circumst",81,"undirected"
"see","confin",10,"undirected"
"feel","confin",20,"undirected"
"think","confin",9,"undirected"
"look","confin",8,"undirected"
"mind","confin",9,"undirected"
"see","deep",76,"undirected"
"feel","deep",88,"undirected"
"think","deep",84,"undirected"
"look","deep",84,"undirected"
"mind","deep",30,"undirected"
"see","doubt",103,"undirected"
"feel","doubt",103,"undirected"
"think","doubt",132,"undirected"
"look","doubt",88,"undirected"
"mind","doubt",58,"undirected"
"see","necess",25,"undirected"
"feel","necess",40,"undirected"
"think","necess",20,"undirected"
"look","necess",13,"undirected"
"mind","necess",18,"undirected"
"see","preced",19,"undirected"
"feel","preced",16,"undirected"
"think","preced",15,"undirected"
"look","preced",10,"undirected"
"mind","preced",18,"undirected"
"see","reconcil",22,"undirected"
"feel","reconcil",19,"undirected"
"think","reconcil",18,"undirected"
"look","reconcil",7,"undirected"
"mind","reconcil",5,"undirected"
"see","resolv",76,"undirected"
"feel","resolv",55,"undirected"
"think","resolv",68,"undirected"
"look","resolv",34,"undirected"
"mind","resolv",35,"undirected"
"see","sunk",27,"undirected"
"feel","sunk",18,"undirected"
"think","sunk",23,"undirected"
"look","sunk",28,"undirected"
"mind","sunk",25,"undirected"
"see","togeth",88,"undirected"
"feel","togeth",67,"undirected"
"think","togeth",106,"undirected"
"look","togeth",78,"undirected"
"mind","togeth",33,"undirected"
"see","vincent",19,"undirected"
"feel","vincent",3,"undirected"
"think","vincent",10,"undirected"
"look","vincent",8,"undirected"
"mind","vincent",11,"undirected"
"see","carri",114,"undirected"
"feel","carri",62,"undirected"
"think","carri",69,"undirected"
"look","carri",56,"undirected"
"mind","carri",27,"undirected"
"see","conceal",50,"undirected"
"feel","conceal",76,"undirected"
"think","conceal",44,"undirected"
"look","conceal",36,"undirected"
"mind","conceal",22,"undirected"
"see","day",487,"undirected"
"feel","day",223,"undirected"
"think","day",438,"undirected"
"look","day",229,"undirected"
"mind","day",141,"undirected"
"see","ineffectu",4,"undirected"
"feel","ineffectu",3,"undirected"
"think","ineffectu",1,"undirected"
"look","ineffectu",1,"undirected"
"mind","ineffectu",1,"undirected"
"see","lip",109,"undirected"
"feel","lip",93,"undirected"
"think","lip",94,"undirected"
"look","lip",138,"undirected"
"mind","lip",26,"undirected"
"see","melancholi",27,"undirected"
"feel","melancholi",29,"undirected"
"think","melancholi",40,"undirected"
"look","melancholi",38,"undirected"
"mind","melancholi",33,"undirected"
"see","mention",52,"undirected"
"feel","mention",43,"undirected"
"think","mention",69,"undirected"
"look","mention",41,"undirected"
"mind","mention",16,"undirected"
"see","oppress",19,"undirected"
"feel","oppress",39,"undirected"
"think","oppress",23,"undirected"
"look","oppress",14,"undirected"
"mind","oppress",18,"undirected"
"see","remaind",5,"undirected"
"feel","remaind",7,"undirected"
"think","remaind",8,"undirected"
"look","remaind",2,"undirected"
"mind","remaind",5,"undirected"
"see","seiz",42,"undirected"
"feel","seiz",25,"undirected"
"think","seiz",17,"undirected"
"look","seiz",32,"undirected"
"mind","seiz",18,"undirected"
"see","sinc",233,"undirected"
"feel","sinc",106,"undirected"
"think","sinc",153,"undirected"
"look","sinc",92,"undirected"
"mind","sinc",58,"undirected"
"see","spilt",1,"undirected"
"think","spilt",1,"undirected"
"see","spiritless",3,"undirected"
"think","spiritless",1,"undirected"
"mind","spiritless",1,"undirected"
"see","struggl",58,"undirected"
"feel","struggl",77,"undirected"
"think","struggl",53,"undirected"
"look","struggl",39,"undirected"
"mind","struggl",29,"undirected"
"see","wine",4,"undirected"
"feel","wine",6,"undirected"
"think","wine",2,"undirected"
"look","wine",1,"undirected"
"see","anguish",32,"undirected"
"feel","anguish",35,"undirected"
"think","anguish",29,"undirected"
"look","anguish",28,"undirected"
"mind","anguish",17,"undirected"
"see","attir",17,"undirected"
"feel","attir",3,"undirected"
"think","attir",2,"undirected"
"look","attir",8,"undirected"
"see","castl",29,"undirected"
"feel","castl",5,"undirected"
"think","castl",19,"undirected"
"look","castl",19,"undirected"
"mind","castl",12,"undirected"
"see","command",32,"undirected"
"feel","command",26,"undirected"
"think","command",41,"undirected"
"look","command",29,"undirected"
"mind","command",14,"undirected"
"see","detest",5,"undirected"
"feel","detest",7,"undirected"
"think","detest",7,"undirected"
"look","detest",5,"undirected"
"mind","detest",1,"undirected"
"see","indulg",40,"undirected"
"feel","indulg",47,"undirected"
"think","indulg",49,"undirected"
"look","indulg",29,"undirected"
"mind","indulg",36,"undirected"
"see","inflex",1,"undirected"
"feel","inflex",1,"undirected"
"think","inflex",4,"undirected"
"look","inflex",2,"undirected"
"see","prepar",83,"undirected"
"feel","prepar",52,"undirected"
"think","prepar",66,"undirected"
"look","prepar",45,"undirected"
"mind","prepar",36,"undirected"
"see","rich",33,"undirected"
"feel","rich",26,"undirected"
"think","rich",28,"undirected"
"look","rich",28,"undirected"
"mind","rich",13,"undirected"
"see","silenc",81,"undirected"
"feel","silenc",83,"undirected"
"think","silenc",115,"undirected"
"look","silenc",107,"undirected"
"mind","silenc",38,"undirected"
"see","smile",221,"undirected"
"feel","smile",147,"undirected"
"think","smile",240,"undirected"
"look","smile",354,"undirected"
"mind","smile",45,"undirected"
"see","submit",21,"undirected"
"feel","submit",14,"undirected"
"think","submit",18,"undirected"
"look","submit",7,"undirected"
"mind","submit",5,"undirected"
"see","welcom",31,"undirected"
"feel","welcom",28,"undirected"
"think","welcom",33,"undirected"
"look","welcom",26,"undirected"
"mind","welcom",11,"undirected"
"see","withdrew",19,"undirected"
"feel","withdrew",11,"undirected"
"think","withdrew",18,"undirected"
"look","withdrew",23,"undirected"
"mind","withdrew",3,"undirected"
"see","avoid",50,"undirected"
"feel","avoid",39,"undirected"
"think","avoid",49,"undirected"
"look","avoid",37,"undirected"
"mind","avoid",18,"undirected"
"see","disgrac",14,"undirected"
"feel","disgrac",13,"undirected"
"think","disgrac",12,"undirected"
"look","disgrac",3,"undirected"
"mind","disgrac",9,"undirected"
"see","elop",6,"undirected"
"feel","elop",1,"undirected"
"think","elop",3,"undirected"
"look","elop",2,"undirected"
"see","fate",21,"undirected"
"feel","fate",29,"undirected"
"think","fate",43,"undirected"
"look","fate",13,"undirected"
"mind","fate",23,"undirected"
"see","fidel",3,"undirected"
"feel","fidel",4,"undirected"
"think","fidel",1,"undirected"
"look","fidel",1,"undirected"
"see","idea",122,"undirected"
"feel","idea",126,"undirected"
"think","idea",174,"undirected"
"look","idea",79,"undirected"
"mind","idea",165,"undirected"
"see","imagin",110,"undirected"
"feel","imagin",83,"undirected"
"think","imagin",108,"undirected"
"look","imagin",67,"undirected"
"mind","imagin",53,"undirected"
"see","known",74,"undirected"
"feel","known",82,"undirected"
"think","known",75,"undirected"
"look","known",37,"undirected"
"mind","known",24,"undirected"
"see","mean",159,"undirected"
"feel","mean",102,"undirected"
"think","mean",215,"undirected"
"look","mean",126,"undirected"
"mind","mean",74,"undirected"
"see","opinion",49,"undirected"
"feel","opinion",86,"undirected"
"think","opinion",112,"undirected"
"look","opinion",35,"undirected"
"mind","opinion",38,"undirected"
"see","predilect",1,"undirected"
"feel","predilect",1,"undirected"
"think","predilect",2,"undirected"
"look","predilect",1,"undirected"
"mind","predilect",2,"undirected"
"see","rush",36,"undirected"
"feel","rush",37,"undirected"
"think","rush",38,"undirected"
"look","rush",34,"undirected"
"mind","rush",24,"undirected"
"see","shrunk",13,"undirected"
"feel","shrunk",17,"undirected"
"think","shrunk",14,"undirected"
"look","shrunk",12,"undirected"
"mind","shrunk",6,"undirected"
"see","trust",52,"undirected"
"feel","trust",51,"undirected"
"think","trust",83,"undirected"
"look","trust",43,"undirected"
"mind","trust",27,"undirected"
"see","yet",353,"undirected"
"feel","yet",303,"undirected"
"think","yet",369,"undirected"
"look","yet",269,"undirected"
"mind","yet",139,"undirected"
"see","afford",20,"undirected"
"feel","afford",21,"undirected"
"think","afford",28,"undirected"
"look","afford",8,"undirected"
"mind","afford",11,"undirected"
"see","although",39,"undirected"
"feel","although",31,"undirected"
"think","although",38,"undirected"
"look","although",22,"undirected"
"mind","although",13,"undirected"
"see","bound",42,"undirected"
"feel","bound",47,"undirected"
"think","bound",35,"undirected"
"look","bound",21,"undirected"
"mind","bound",6,"undirected"
"see","consid",56,"undirected"
"feel","consid",62,"undirected"
"think","consid",88,"undirected"
"look","consid",49,"undirected"
"mind","consid",32,"undirected"
"see","duke",3,"undirected"
"feel","duke",1,"undirected"
"think","duke",4,"undirected"
"look","duke",3,"undirected"
"see","fugit",4,"undirected"
"look","fugit",3,"undirected"
"see","ladi",407,"undirected"
"feel","ladi",199,"undirected"
"think","ladi",373,"undirected"
"look","ladi",260,"undirected"
"mind","ladi",120,"undirected"
"see","might",443,"undirected"
"feel","might",408,"undirected"
"think","might",741,"undirected"
"look","might",278,"undirected"
"mind","might",207,"undirected"
"see","necessari",37,"undirected"
"feel","necessari",39,"undirected"
"think","necessari",79,"undirected"
"look","necessari",32,"undirected"
"mind","necessari",26,"undirected"
"see","night",196,"undirected"
"feel","night",98,"undirected"
"think","night",206,"undirected"
"look","night",129,"undirected"
"mind","night",78,"undirected"
"see","peopl",101,"undirected"
"feel","peopl",54,"undirected"
"think","peopl",132,"undirected"
"look","peopl",72,"undirected"
"mind","peopl",21,"undirected"
"see","refresh",16,"undirected"
"feel","refresh",13,"undirected"
"think","refresh",12,"undirected"
"look","refresh",15,"undirected"
"mind","refresh",17,"undirected"
"see","shape",15,"undirected"
"feel","shape",9,"undirected"
"think","shape",11,"undirected"
"look","shape",9,"undirected"
"mind","shape",9,"undirected"
"see","shelter",12,"undirected"
"feel","shelter",6,"undirected"
"think","shelter",7,"undirected"
"look","shelter",9,"undirected"
"see","sight",107,"undirected"
"feel","sight",66,"undirected"
"think","sight",89,"undirected"
"look","sight",92,"undirected"
"mind","sight",27,"undirected"
"see","affection",33,"undirected"
"feel","affection",39,"undirected"
"think","affection",41,"undirected"
"look","affection",38,"undirected"
"mind","affection",17,"undirected"
"see","depart",58,"undirected"
"feel","depart",16,"undirected"
"think","depart",23,"undirected"
"look","depart",25,"undirected"
"mind","depart",22,"undirected"
"see","hire",4,"undirected"
"feel","hire",1,"undirected"
"think","hire",3,"undirected"
"look","hire",1,"undirected"
"mind","hire",2,"undirected"
"see","interv",19,"undirected"
"feel","interv",18,"undirected"
"think","interv",20,"undirected"
"look","interv",11,"undirected"
"mind","interv",6,"undirected"
"see","journey",38,"undirected"
"feel","journey",23,"undirected"
"think","journey",38,"undirected"
"look","journey",20,"undirected"
"mind","journey",22,"undirected"
"see","leav",192,"undirected"
"feel","leav",127,"undirected"
"think","leav",219,"undirected"
"look","leav",131,"undirected"
"mind","leav",81,"undirected"
"see","reason",108,"undirected"
"feel","reason",130,"undirected"
"think","reason",167,"undirected"
"look","reason",79,"undirected"
"mind","reason",71,"undirected"
"see","repos",14,"undirected"
"feel","repos",12,"undirected"
"think","repos",25,"undirected"
"look","repos",13,"undirected"
"mind","repos",22,"undirected"
"see","servant",67,"undirected"
"feel","servant",28,"undirected"
"think","servant",34,"undirected"
"look","servant",42,"undirected"
"mind","servant",11,"undirected"
"see","spite",49,"undirected"
"feel","spite",56,"undirected"
"think","spite",49,"undirected"
"look","spite",53,"undirected"
"mind","spite",20,"undirected"
"see","stranger",66,"undirected"
"feel","stranger",55,"undirected"
"think","stranger",67,"undirected"
"look","stranger",55,"undirected"
"mind","stranger",28,"undirected"
"see","though",388,"undirected"
"feel","though",362,"undirected"
"think","though",381,"undirected"
"look","though",255,"undirected"
"mind","though",136,"undirected"
"see","took",192,"undirected"
"feel","took",136,"undirected"
"think","took",158,"undirected"
"look","took",197,"undirected"
"mind","took",68,"undirected"
"see","whose",131,"undirected"
"feel","whose",125,"undirected"
"think","whose",142,"undirected"
"look","whose",121,"undirected"
"mind","whose",87,"undirected"
"see","can",384,"undirected"
"feel","can",212,"undirected"
"think","can",449,"undirected"
"look","can",216,"undirected"
"mind","can",85,"undirected"
"see","deliv",9,"undirected"
"feel","deliv",9,"undirected"
"think","deliv",11,"undirected"
"look","deliv",6,"undirected"
"mind","deliv",7,"undirected"
"see","descend",40,"undirected"
"feel","descend",11,"undirected"
"think","descend",15,"undirected"
"look","descend",26,"undirected"
"mind","descend",6,"undirected"
"see","emot",72,"undirected"
"feel","emot",100,"undirected"
"think","emot",79,"undirected"
"look","emot",74,"undirected"
"mind","emot",50,"undirected"
"see","enemi",11,"undirected"
"feel","enemi",7,"undirected"
"think","enemi",11,"undirected"
"look","enemi",4,"undirected"
"mind","enemi",7,"undirected"
"see","enter",214,"undirected"
"feel","enter",98,"undirected"
"think","enter",114,"undirected"
"look","enter",138,"undirected"
"mind","enter",71,"undirected"
"see","heighten",17,"undirected"
"feel","heighten",14,"undirected"
"think","heighten",7,"undirected"
"look","heighten",16,"undirected"
"mind","heighten",5,"undirected"
"see","thus",125,"undirected"
"feel","thus",130,"undirected"
"think","thus",143,"undirected"
"look","thus",83,"undirected"
"mind","thus",70,"undirected"
"see","whenc",26,"undirected"
"feel","whenc",5,"undirected"
"think","whenc",14,"undirected"
"look","whenc",24,"undirected"
"mind","whenc",2,"undirected"
"see","arriv",93,"undirected"
"feel","arriv",49,"undirected"
"think","arriv",58,"undirected"
"look","arriv",50,"undirected"
"mind","arriv",30,"undirected"
"see","boast",10,"undirected"
"feel","boast",7,"undirected"
"think","boast",5,"undirected"
"look","boast",5,"undirected"
"mind","boast",2,"undirected"
"see","exert",23,"undirected"
"feel","exert",39,"undirected"
"think","exert",31,"undirected"
"look","exert",24,"undirected"
"mind","exert",27,"undirected"
"see","futil",1,"undirected"
"feel","futil",2,"undirected"
"think","futil",2,"undirected"
"see","irrit",15,"undirected"
"feel","irrit",29,"undirected"
"think","irrit",21,"undirected"
"look","irrit",13,"undirected"
"mind","irrit",20,"undirected"
"see","mazzini",1,"undirected"
"see","much",552,"undirected"
"feel","much",499,"undirected"
"think","much",796,"undirected"
"look","much",389,"undirected"
"mind","much",196,"undirected"
"see","passion",63,"undirected"
"feel","passion",72,"undirected"
"think","passion",91,"undirected"
"look","passion",54,"undirected"
"mind","passion",36,"undirected"
"see","produc",25,"undirected"
"feel","produc",31,"undirected"
"think","produc",17,"undirected"
"look","produc",16,"undirected"
"mind","produc",24,"undirected"
"see","prolong",3,"undirected"
"feel","prolong",3,"undirected"
"think","prolong",5,"undirected"
"look","prolong",3,"undirected"
"mind","prolong",3,"undirected"
"see","promis",106,"undirected"
"feel","promis",50,"undirected"
"think","promis",113,"undirected"
"look","promis",58,"undirected"
"mind","promis",28,"undirected"
"see","recollect",102,"undirected"
"feel","recollect",53,"undirected"
"think","recollect",107,"undirected"
"look","recollect",68,"undirected"
"mind","recollect",70,"undirected"
"see","recov",43,"undirected"
"feel","recov",36,"undirected"
"think","recov",48,"undirected"
"look","recov",36,"undirected"
"mind","recov",40,"undirected"
"see","return",287,"undirected"
"feel","return",197,"undirected"
"think","return",311,"undirected"
"look","return",191,"undirected"
"mind","return",104,"undirected"
"see","violenc",9,"undirected"
"feel","violenc",11,"undirected"
"think","violenc",6,"undirected"
"look","violenc",14,"undirected"
"mind","violenc",7,"undirected"
"see","betray",14,"undirected"
"feel","betray",32,"undirected"
"think","betray",46,"undirected"
"look","betray",28,"undirected"
"mind","betray",13,"undirected"
"see","burst",40,"undirected"
"feel","burst",44,"undirected"
"think","burst",50,"undirected"
"look","burst",46,"undirected"
"mind","burst",9,"undirected"
"see","deplor",3,"undirected"
