year,exclam.year,quest.year,period.year,comma.year,semi.year,colon.year,total.year
1828,0.0038698239,0.0033108571,0.0353819235,0.0931258474,0.0117734584,0.001868189,0.1503981538
1829,0.0041671043,0.0030093123,0.0342268866,0.0926447282,0.0124027256,0.0023444665,0.1496291413
1830,0.0049957801,0.0031947807,0.0348611761,0.0921343028,0.0112494269,0.0016668904,0.148939379
1831,0.0055638805,0.0031869039,0.0366191172,0.0875768156,0.0112512312,0.0018849403,0.1473246626
1832,0.0049036,0.0029811274,0.032944264,0.0883495294,0.0121988257,0.0022504186,0.1445516613
1833,0.004795707,0.0034570031,0.0365767726,0.0855412167,0.0106050992,0.0016797797,0.1433115559
1834,0.0047935697,0.0032832086,0.034571261,0.0906547774,0.0113704491,0.0017173359,0.1473764038
1835,0.0055604332,0.0037665993,0.033829719,0.0941204157,0.0125485001,0.0019903287,0.1527886757
1836,0.0046571625,0.0035436212,0.0352108507,0.0901081942,0.0113628546,0.0016233765,0.1478298876
1837,0.0055985654,0.0037543219,0.0368793684,0.0897743153,0.0122574499,0.0026830377,0.1517815327
1838,0.0054226354,0.0039768136,0.0362126746,0.0894878068,0.0108936057,0.001178313,0.1480139405
1839,0.0047502495,0.0034320367,0.0364545666,0.0890354205,0.0121211775,0.0014835795,0.1480566866
1840,0.0055828953,0.0039385391,0.0361401461,0.0884793887,0.0113865694,0.0015260645,0.1479067628
1841,0.0061020422,0.0038541514,0.0383840605,0.0913261641,0.0109699448,0.0012778131,0.1524522768
1842,0.0053796421,0.0036747417,0.0376045218,0.0900216391,0.0115797657,0.0013309201,0.1505382428
1843,0.0066530174,0.003451703,0.0361436635,0.0922938512,0.0109736181,0.0013113375,0.15193972
1844,0.0066762959,0.0040122854,0.0372579032,0.0905498222,0.0106631256,0.0011457256,0.1511391743
1845,0.0068565773,0.0038242964,0.0378301685,0.0894081024,0.0103409093,0.0013593665,0.1503327307
1846,0.0060497411,0.0040271824,0.0388716938,0.0901790334,0.0093803209,0.0009872514,0.150034535
1847,0.0065305815,0.003726117,0.0368725304,0.0893925706,0.0111088596,0.001949478,0.1503187466
1848,0.0048453251,0.0039890541,0.0396501188,0.0933404031,0.010751375,0.0015879912,0.1550542921
1849,0.0048642021,0.0036741119,0.0384539334,0.0909257062,0.011327965,0.0023038989,0.1524741096
1850,0.0052234303,0.0036451728,0.0392243337,0.0909713021,0.0111104857,0.0011158186,0.1521345193
1851,0.0052771607,0.00391009,0.037171228,0.0931190663,0.0126563975,0.0019224862,0.1549081094
1852,0.0058379913,0.00361719,0.0374904902,0.0937095971,0.011556552,0.0017190621,0.1547497944
1853,0.0059341124,0.004405143,0.0423311721,0.0879906985,0.0107828386,0.0014158669,0.1539233595
1854,0.0059326969,0.0046753835,0.0434693952,0.0908308794,0.0102506926,0.0016314995,0.1575540808
1855,0.0060237617,0.004549199,0.0441955699,0.0910991421,0.0112130205,0.001557364,0.1594159742
1856,0.0057405156,0.0043863038,0.0452759056,0.0910622085,0.0103406252,0.0011662741,0.158885255
1857,0.0066452323,0.0046717251,0.0431804559,0.0877731628,0.0101165525,0.0016931789,0.1550705541
1858,0.0040798476,0.0043644041,0.0434302992,0.0851535274,0.0118199164,0.0018913683,0.1517123064
1859,0.0058517345,0.0048321616,0.0449488224,0.0883031477,0.0102067105,0.0013898798,0.1562974314
1860,0.0048915134,0.0041417809,0.0433404982,0.0891880791,0.0106658612,0.0014442004,0.1545515702
1861,0.005347598,0.0054043119,0.0464634915,0.0833196962,0.009510309,0.0017322175,0.1529324566
1862,0.0057713693,0.0054766242,0.049339857,0.0822317111,0.0094820404,0.0010147532,0.153936969
1863,0.0043536553,0.0047644896,0.0475316963,0.0837523636,0.0096170213,0.001825707,0.1527123874
1864,0.0045057844,0.0045976054,0.0456344668,0.0829664254,0.0091279507,0.0011342636,0.1488804912
1865,0.0040274449,0.0048237059,0.0446954722,0.0852650979,0.0101424686,0.0010078331,0.1509523442
1866,0.0045852539,0.0044799294,0.0444246151,0.0817371494,0.0099950815,0.0013222842,0.1475407447
1867,0.0045647274,0.0046298608,0.0469292994,0.0819414701,0.0096071123,0.0011411369,0.149579561
1868,0.0047699019,0.0047285905,0.047255797,0.0790661086,0.0085424276,0.0011490115,0.146436339
1869,0.0039082768,0.0044804458,0.044643313,0.0811833859,0.0096598711,0.0009699026,0.1458181721
1870,0.0039805412,0.0047524752,0.0486578223,0.0824795921,0.0101340754,0.0012556069,0.1523178647
1871,0.0046969588,0.0049387357,0.0467347617,0.0812708418,0.0103865663,0.0016156078,0.1505472618
1872,0.0042294316,0.0045975742,0.0463792684,0.0801711496,0.0098367429,0.0014173833,0.1477413697
1873,0.0041266739,0.0049315828,0.0501618625,0.0781382455,0.0090159531,0.0010796713,0.148229267
1874,0.0039264169,0.0047803625,0.0506366709,0.0812039667,0.0090822956,0.0011947764,0.1517664588
1875,0.0042407466,0.0051478627,0.0528431547,0.077215627,0.0084795285,0.0011013308,0.1502465431
1876,0.0043767155,0.0050522601,0.0504771212,0.0782446672,0.0096286056,0.0013227876,0.1501907925
1877,0.0046947783,0.0047701463,0.0464189548,0.0790212727,0.0095889423,0.0012642546,0.1466464586
1878,0.0041357013,0.0049768805,0.049944358,0.0811645074,0.0093952795,0.0011283865,0.1518540884
1879,0.0039912755,0.0045979921,0.0506357862,0.0770288349,0.0087364071,0.0013754554,0.1474417276
1880,0.0036762714,0.0052609831,0.0524102553,0.0767001378,0.0090778857,0.0012639807,0.1490983016
1881,0.0039276912,0.0050975073,0.0497389194,0.0787599213,0.009221707,0.0011501285,0.1488816841
1882,0.0037011362,0.00503336,0.0514093178,0.0771857379,0.0088696784,0.0011422418,0.1483097246
1883,0.0041764596,0.0052361943,0.0518334717,0.0783041329,0.0091989374,0.0012232302,0.150999488
1884,0.0038524801,0.0048982611,0.0543572822,0.0782136984,0.0093533012,0.0014149469,0.1533810135
1885,0.0048589258,0.0053141576,0.0536655172,0.0781094308,0.0089519947,0.0014029915,0.153374234
1886,0.0045392079,0.005130678,0.0539850028,0.0780569251,0.0087341705,0.0015364141,0.1531187855
1887,0.0047668774,0.0052808521,0.0552951942,0.0778425543,0.0078007176,0.0011345401,0.1529866926
1888,0.0038563056,0.0053934432,0.0542007617,0.0773894502,0.0085689561,0.0011945042,0.1514397695
1889,0.004593025,0.0052242655,0.0541482781,0.0767117798,0.0086681784,0.0012628406,0.151737039
1890,0.0043655486,0.0055789946,0.055956519,0.0762522902,0.0077008703,0.0015847087,0.1527251992
1891,0.0040603648,0.0052377945,0.0555843649,0.0780596797,0.0077133358,0.001717141,0.1535720687
1892,0.0044186585,0.0051841004,0.0609319961,0.0765950044,0.007566947,0.0015353432,0.1578690853
1893,0.004114311,0.0053938844,0.0633183947,0.0741587167,0.0078785153,0.0012672734,0.1577076232
1894,0.004495459,0.0054583208,0.0626570834,0.0754068735,0.0075759903,0.0013201887,0.1582789651
1895,0.0037466237,0.0046959792,0.0673051873,0.0747603009,0.0086283976,0.0018633004,0.1629396514
1896,0.0048939968,0.0056275653,0.0756114913,0.0749811985,0.0082830701,0.0020368575,0.1744410524
1897,0.0040537067,0.0056378842,0.0544174359,0.0735421514,0.008355509,0.0011084136,0.1476223438
1898,0.0036402914,0.0018285677,0.0251401698,0.0898132468,0.0086578162,0.0026530021,0.1347374294
1900,0.0049826101,0.005159684,0.0508063718,0.0706974221,0.0059174361,0.0015575467,0.1399399265
1901,0.0040041347,0.0044395782,0.0529343687,0.072208629,0.0064665126,0.0019288205,0.1431226086
1902,0.0041322568,0.0047857372,0.0548760741,0.0696188252,0.0038833004,0.001342971,0.1394801295
1903,0.0035397188,0.0051031901,0.0511270212,0.0691579392,0.0059559105,0.0013407968,0.1368127641
1904,0.0046705854,0.0053055271,0.0514035831,0.0711423081,0.0054912417,0.0015027864,0.1401913236
1905,0.0044899317,0.0049191322,0.0503892578,0.0709948673,0.0052736398,0.0014762739,0.138391533
1906,0.0038525183,0.0050529385,0.0512073239,0.0712774191,0.0044451126,0.0017067065,0.1383342356
1907,0.0053544171,0.0050192959,0.0523439198,0.0699508765,0.006674438,0.0020380234,0.1425722691
1908,0.0051171859,0.0055101878,0.0555779169,0.064798081,0.004881194,0.0015004947,0.1382856458
1909,0.0046768896,0.0052143578,0.0552345282,0.0695845354,0.0043708249,0.0015895384,0.1413455668
1910,0.0045909167,0.0047876597,0.0535766023,0.067921326,0.0049330096,0.0017650924,0.1383513641
1911,0.0051518229,0.0055477967,0.0539831308,0.0679924255,0.0051720361,0.001342078,0.1398179497
1912,0.0039530826,0.004706846,0.0556129856,0.0634227166,0.0049526437,0.0017462021,0.1349843293
1913,0.0042330474,0.0053710945,0.0568956168,0.0636746889,0.0039118824,0.001689041,0.1365153856
1914,0.0046825194,0.0061233328,0.0568475975,0.0657350097,0.0056173073,0.0015376514,0.1411212099
1915,0.0052715005,0.0052421452,0.0569609154,0.0662426148,0.0037940538,0.0016168422,0.1399576096
1916,0.0050357132,0.0054496756,0.0547362964,0.0674356123,0.0046850999,0.0016743918,0.1397212355
1917,0.0037837971,0.0047875668,0.0561302464,0.0625903328,0.0042901232,0.0014166389,0.1336815239
1918,0.0049429439,0.0056307994,0.0610705942,0.06523256,0.0041428356,0.001659984,0.143367803
1919,0.0043835005,0.0047970839,0.0578784252,0.0653798796,0.0041855664,0.0013845899,0.1386336305
1920,0.0042232354,0.0047689142,0.0551070677,0.0604684652,0.0044834408,0.0017620571,0.1315550565
1921,0.0042425526,0.005308356,0.0605378684,0.0620380483,0.0041196463,0.0013547923,0.1383090306
1922,0.0043158696,0.0054619405,0.0628181727,0.063131461,0.0039865169,0.0018843786,0.1422805381
1923,0.0050768211,0.0057516222,0.0644629631,0.0627137483,0.0033079408,0.0011293303,0.1430410701
1924,0.0044196343,0.0057311725,0.0591367691,0.067126912,0.0041491306,0.0014005422,0.1425952079
1925,0.0039116328,0.0060563543,0.0592198721,0.0651911028,0.0037767303,0.0016560019,0.1407079037
1926,0.0043139962,0.006339704,0.0618828068,0.0660668502,0.0037490493,0.0013964575,0.144492768
1927,0.003485563,0.006056547,0.0592428968,0.0653276596,0.0042499819,0.001605112,0.1408774341
1928,0.0044115923,0.0065221433,0.0589362854,0.0673398044,0.0040925534,0.001617767,0.144112342
1929,0.0039904874,0.0062500798,0.0656865358,0.0656173063,0.0039523871,0.001424098,0.1474525723
1930,0.0033144999,0.0061694688,0.0621639694,0.0632340833,0.0032642275,0.0013603946,0.1404542272
1931,0.0044800126,0.0060602935,0.0645143675,0.0641146013,0.0032136802,0.0016597776,0.1445933737
1932,0.0035059315,0.0065201664,0.0633506364,0.0665652099,0.0039339259,0.0015686069,0.1460914916
1933,0.0039987909,0.0074186379,0.0694092921,0.0639599316,0.0027762999,0.0020471074,0.1504101497
1934,0.0041275143,0.0073203816,0.0638245913,0.0642294003,0.0036850252,0.0023139159,0.146413757
1935,0.0037020213,0.0071765528,0.0656593078,0.062160614,0.0027217096,0.0015264403,0.1437877351
1936,0.0038885574,0.0070977816,0.0653598137,0.0601671253,0.0027300807,0.0020053798,0.1421544825
1937,0.0025599732,0.0071359009,0.0635022038,0.0632147899,0.0032766437,0.0013892044,0.1416298283
1938,0.0035053499,0.0074502276,0.0624220885,0.0674315387,0.0036053072,0.0022252853,0.1476904877
1939,0.0032070273,0.0068233704,0.0650135764,0.0622111477,0.002721332,0.0017948363,0.1426280369
1940,0.0027924093,0.0075605415,0.0709411921,0.0604239388,0.0037625765,0.0025445786,0.1487415496
1941,0.0039490793,0.0074494664,0.0687302122,0.0647645412,0.0028630371,0.0026052617,0.1509112276
1942,0.0036782537,0.0081731831,0.0720178613,0.0620697076,0.0027010993,0.0021204477,0.1514248471
1943,0.0032350312,0.0080295475,0.0697582478,0.0615199915,0.0027176635,0.0016031503,0.1473671546
1944,0.0037909722,0.0081552879,0.0715628358,0.0599362395,0.0040324155,0.0018898793,0.1498648553
1945,0.0022368055,0.0065364582,0.0663443625,0.0609265905,0.0030947037,0.002088264,0.1419053632
1946,0.0051590947,0.006864409,0.0690507574,0.0611310395,0.0030198971,0.0022832889,0.1483477987
1947,0.0038848285,0.0073130463,0.0688101529,0.0639072798,0.0030898666,0.0020607846,0.1496649323
1948,0.0033607476,0.0073047808,0.0705984317,0.0598631907,0.0024384677,0.0017775699,0.1459605283
1949,0.0039558418,0.0078004003,0.0695145131,0.0631561408,0.002790554,0.001452021,0.1492656283
1950,0.0036620116,0.0076888901,0.0659128246,0.0616152408,0.0028706378,0.0017749376,0.1442888374
1951,0.003072401,0.0075585214,0.0707175444,0.0588483437,0.0024319982,0.0012834127,0.144350556
1952,0.0023290693,0.0081787997,0.0728597077,0.0573298622,0.0022284214,0.0010975066,0.1444650808
1953,0.0033475202,0.0076844376,0.0718156022,0.0610075949,0.0022205462,0.0012302984,0.1477017125
1954,0.0026066739,0.0071021609,0.0681654028,0.0599157899,0.0031152019,0.001484729,0.1430031222
1955,0.0028023873,0.0079604927,0.0727109721,0.0620731223,0.0024322986,0.0011402729,0.1495459998
1956,0.0022463793,0.0079787081,0.0735692652,0.061743216,0.0026544315,0.0011179632,0.1497280154
1957,0.0030105851,0.0084126799,0.0719956732,0.0611711121,0.0018929465,0.0013214953,0.1486540149
1958,0.0026133875,0.0073338749,0.0718156936,0.0629910101,0.001794517,0.0011838985,0.148475747
1959,0.0031879317,0.0085405994,0.0695171715,0.0616160067,0.0022995085,0.001049098,0.1472740943
1960,0.0025586035,0.008609808,0.0697652382,0.0634064042,0.0020246667,0.0012759072,0.1483323856
1961,0.0020364707,0.0077349224,0.0681035695,0.0578080057,0.0024106202,0.0013536998,0.1405876947
1962,0.0029806011,0.008134152,0.0670361317,0.0639324334,0.0021740435,0.002239503,0.1476257909
1963,0.0026290772,0.0083538147,0.0736277902,0.0654145398,0.0022834843,0.001518063,0.1549193663
1964,0.0015773493,0.0084168975,0.071926051,0.0640959719,0.0025933361,0.0011762191,0.1505767002
1965,0.0028602961,0.0080327726,0.0681354564,0.0665732054,0.002620674,0.0012328482,0.150104746
1966,0.0021554751,0.0087541979,0.0720742847,0.0615246805,0.0026857633,0.0012566916,0.1490838556
1967,0.0023640788,0.0078334962,0.0717894512,0.0611476348,0.0024719658,0.0016548733,0.1482325089
1968,0.0025244459,0.0086071698,0.0716364895,0.061470961,0.002907747,0.0017679807,0.1498899328
1969,0.0021522942,0.0077955064,0.0708116005,0.0641448779,0.0019291923,0.0018069599,0.1498901073
1970,0.0019510531,0.0085939976,0.071956675,0.0638199681,0.002122001,0.0023167804,0.1513099137
1971,0.0025326764,0.0084690579,0.0723162908,0.0652662263,0.0023014522,0.0017805864,0.1537755186
1972,0.0032381223,0.0088681555,0.0758152231,0.0623306468,0.0020432991,0.0013452895,0.1552229118
1973,0.0020558009,0.008553706,0.0751370543,0.0626287806,0.0019288697,0.0014188017,0.1528157526
1974,0.002520462,0.008088138,0.0742618307,0.0645679773,0.0020056195,0.0011556438,0.1535857868
1975,0.0023425599,0.0087763597,0.071948631,0.0646027672,0.0024453913,0.0014872146,0.1527258924
1976,0.0021740955,0.0098503632,0.081167396,0.0592028756,0.0015715211,0.0015133678,0.1563168154
1977,0.0020948952,0.0092129165,0.0766530995,0.061710254,0.001977111,0.0015311439,0.1541973009
1978,0.0023592121,0.0085212904,0.0751420842,0.0615922057,0.0019932711,0.0009892644,0.1512681103
1979,0.0019034792,0.0075199611,0.074192394,0.0623225654,0.0014397334,0.0010324648,0.1488926334
1980,0.0020305571,0.0081700392,0.0705598328,0.0660880689,0.0019880701,0.0012963355,0.1509249374
1981,0.0023790967,0.007307902,0.0727430469,0.062991357,0.0024443753,0.0013894622,0.1498875498
1982,0.0023303046,0.0082050744,0.0745318569,0.0621251123,0.0023144559,0.001195299,0.1511861601
1983,0.002268091,0.0076306316,0.0690127839,0.063029335,0.0018686086,0.0013098817,0.1457249431
1984,0.0018620251,0.0084457744,0.0730473861,0.0645044598,0.0020792678,0.001190776,0.1521410857
1985,0.0018338154,0.0093512083,0.077929746,0.0597626026,0.0015580119,0.0008935207,0.1517821716
1986,0.0017545275,0.007986755,0.0752090648,0.0629537321,0.0016457999,0.0010095002,0.151280189
1987,0.0027772168,0.0085330517,0.0790834172,0.0595784014,0.001614119,0.0012474183,0.1534013518
1988,0.0015537206,0.0079273999,0.0728532905,0.0617072164,0.0018554054,0.0009051885,0.1475964444
1989,0.0022732766,0.0076966075,0.0709894118,0.0610874948,0.0014456543,0.0011905871,0.1451424023
1990,0.0024424813,0.0092311729,0.0758057843,0.061879177,0.0013200698,0.0012539961,0.1526446288
