language,k,filename,word.count,dissimilarity.change,p,z
english,56,"1850_Hawthorne,Nathaniel_TheScarletLetter_Novel_1.txt",82920,-0.0636195182,0.1866247065,-0.6707208271
english,84,"1877_Sewell,Anna_BlackBeauty_Novel_1.txt",59640,-0.0632563256,0.005260726,-0.666589247
english,89,"1884_Twain,Mark_TheAdventuresofHuckleberryFinn_Novel_1.txt",110065,-0.0615570308,0.0100549434,-0.647258531
english,37,"1822_Hogg,James_ThreePerilsofMan_Novel_1.txt",211203,-0.0596914822,0.0656064647,-0.6260365582
english,100,"1891_Gissing,George_NewGrubStreet_Novel_1.txt",185537,-0.0588235294,0.1492361742,-0.6161629631
english,103,"1893_Grand,Sarah_TheHeavenlyTwins_Novel_1.txt",280544,-0.0577235772,0.4645936765,-0.6036502063
english,110,"1897_Stoker,Bram_Dracula_Novel_1.txt",160094,-0.0575284091,0.0265333534,-0.6014300266
english,145,"1922_Fitzgerald,FScott_TheBeautifulandtheDamned_Novel_1.txt",123337,-0.0567121321,0.0276759022,-0.5921442815
english,12,"1796_Bonhote,Elizabeth_BungayCastle_Novel_1.txt",86402,-0.0543624161,0.0153219313,-0.5654145517
english,77,"1869_Alcott,Louisa_LittleWomen_Novel_1.txt",185811,-0.05390625,0.0171571795,-0.5602253302
english,49,"1847_Bronte,Charlotte_JaneEyre_Novel_1.txt",184392,-0.0538001708,0.0153219313,-0.559018602
english,27,"1814_Austen,Jane_MansfieldPark_Novel_1.txt",159490,-0.0526315789,0.0024134211,-0.545725019
english,30,"1817_Scott,Walter_RobRoy_Novel_1.txt",158824,-0.0474799123,0.5151630022,-0.4871210612
english,141,"1918_Lewis,Sinclai_TheJob_Nove_1.txt",90240,-0.0469266358,0.3426894907,-0.480827138
english,42,"1837_Disraeli,Benjamin_Venetia_Novel_1.txt",160428,-0.0452674897,0.8724168216,-0.4619531432
english,8,"1794_Godwin,William_CalebWilliams_Novel_1.txt",143801,-0.0452261307,0.5848922836,-0.4614826538
english,86,"1882_Stevenson,RobertLouis_TreasureIsland_Novel_1.txt",67936,-0.045117076,0.1659118606,-0.4602420772
english,106,"1894_Hope,Anthony_ThePrisonerofZenda_Novel_1.txt",53523,-0.0442708333,0.1634481501,-0.4506154514
english,59,"1851_Melville,Hermann_MobyDick_Novel_1.txt",211643,-0.0418410042,0.974379107,-0.422974376
english,26,"1813_Austen,Jane_PrideandPrejudice_Novel_1.txt",121731,-0.0418006431,0.0265333534,-0.4225152391
english,58,"1851_Hawthorne,Nathaniel_TheHouseoftheSevenGables_Novel_1.txt",102243,-0.0394648829,0.8597833853,-0.3959442671
english,138,"1917_Cahan,Abraham_TheRiseofDavidLevinsky_Novel_1.txt",168700,-0.0389395195,0.3147335808,-0.3899678752
english,111,"1898_Crockett,SR_TheRedAxe_Novel_1.txt",110515,-0.0385321101,0.0407823798,-0.3853332969
english,64,"1853_Yonge,Charlotte_TheHeirofRedcliffe_Novel_1.txt",233693,-0.0360983103,0.7786671533,-0.3576470525
english,24,"1809_More,Hannah_CoelebsinSearchofaWife_Novel_1.txt",136557,-0.0343796712,0.2668663602,-0.3380962812
english,76,"1865_Carroll,Lewis_Alice'sAdventureinWonderland_Novel_1.txt",26387,-0.0334832584,0.484486668,-0.3278989332
english,61,"1853_Craik,Dinah_Agatha'sHusband_Novel_1.txt",136269,-0.0323974082,0.0209442883,-0.3155465972
english,32,"1818_Shelley,Mary_Frankenstein_Novel_1.txt",75553,-0.0309506264,0.4215239857,-0.2990884007
english,93,"1888_Trollope,FrancesEleanor_ThatUnfortunateMarriage_Novel_1.txt",167805,-0.0308853809,0.1178040969,-0.2983461861
english,39,"1826_Cooper,JameFenimore_TheLastoftheMohicans_Novel_1.txt",146826,-0.0302800908,0.0644184869,-0.2914605708
english,98,"1890_Wilde,Oscar_ThePictureofDorianGray_Novel_1.txt",78874,-0.0288646568,0.484486668,-0.2753589786
english,95,"1889_Doyle,ArthurConan_TheMysteryoftheCloomber_Novel_1.txt",48729,-0.0287356322,0.3186337661,-0.2738912293
english,131,"1911_Barrie,J.M._PeterPan_Novel_1.txt",47287,-0.0279441118,0.8409006406,-0.2648871084
english,92,"1887_Bellamy,Edward_LookingBackward_Novel_1.txt",77966,-0.0238568588,0.224213259,-0.218391631
english,122,"1903_Norris,Frank_ThePit_Novel_1.txt",123839,-0.0235969388,0.3345463315,-0.215434851
english,137,"1916_Joyce,James_APortraitoftheArtistasaYoungMan_Novel_1.txt",84736,-0.0181718062,0.9360049449,-0.1537200183
english,79,"1869_Trollope,Anthony_PhineasFinn_Novel_1.txt",260626,-0.0176,0.0933523578,-0.1472153069
english,57,"1850_Yonge,Charlotte_Henrietta'sWish_Novel_1.txt",87626,-0.0172839506,0.4261918151,-0.1436200151
english,11,"1795_Lewis,Matthew_TheMonk_Novel_1.txt",136955,-0.0149812734,0.8346259211,-0.1174253856
english,28,"1814_Scott,Walter_Waverley_Novel_1.txt",194884,-0.0147420147,0.3070268024,-0.1147036441
english,44,"1838_Martineau,Harriet_Deerbrook_Novel_1.txt",220789,-0.0131904369,0.4596916755,-0.097053317
english,47,"1844_Yonge,Charlotte_Abbeychurch_Novel_1.txt",72551,-0.0127659574,0.7786671533,-0.0922245538
english,43,"1837_Trollope,FrancesMilton_TheVicarofWrexham_Novel_1.txt",168811,-0.0127531883,0.0668122568,-0.0920792955
english,130,"1910_Forster,E.M._HowardsEnd_Novel_1.txt",108589,-0.0119131044,0.253192075,-0.0825227298
english,67,"1856_Craik,Dinah_JohnHalifax_Novel_1.txt",174635,-0.0092236741,0.967976949,-0.0519285021
english,88,"1884_Lyall,Edna_WeTwo_Novel_1.txt",170148,-0.0086956522,0.6184756258,-0.0459218683
english,124,"1905_Orczy,Emma_TheScarletPimpernel_Novel_1.txt",83883,-0.0047534165,0.3941468758,-0.001076068
english,2,"1771_Smollett,Tobias_TheExpedictionofHenryClinker_Novel_1.txt",148271,-0.0047214353,0.2465392801,-0.0007122585
english,102,"1893_Gissing,George_TheOddWomen_Novel_1.txt",138039,-0.0043956044,0.8597833853,0.0029943054
english,16,"1798_Brown,CharlesBrockden_Wieland_Novel_1.txt",82277,-0.0039808917,0.5793776749,0.007711964
english,10,"1794_Rowson,Susanna_CharlotteTemple_Novel_1.txt",36524,-0.0011655012,0.9104982511,0.039739081
english,81,"1874_Hardy,Thomas_FarFromtheMaddingCrowd_Novel_1.txt",136768,0.000685401,0.5793776749,0.0607944401
english,132,"1911_Wharton,Edith_EthanFrome_Novel_1.txt",34718,0.00119976,0.3852634048,0.0666456492
english,41,"1836_Child,Lydia_Philothea_Novel_1.txt",72974,0.0012062726,0.967976949,0.0667197344
english,129,"1908_Forster,E.M._ARoomWithaView_Novel_1.txt",66428,0.0017271157,0.6644998387,0.0726447038
english,144,"1920_Wharton,Edith_TheAgeofInnocence_Novel_1.txt",101177,0.0060195636,0.5414686282,0.121474423
english,91,"1886_Stevenson,RobertLouis_JekyllandHyde_Novel_1.txt",25605,0.0101066816,0.7541385163,0.1679683662
english,117,"1901_Norris,Frank_TheOctopus_Novel_1.txt",195654,0.011619959,0.9168673973,0.1851829976
english,34,"1820_Scott,Walter_Ivanhoe_Novel_1.txt",175027,0.0139072848,0.5048278418,0.2112029934
english,87,"1883_Braddon,Mary_TheGoldenCalf_Novel_1.txt",160144,0.0141065831,0.7663738579,0.2134701567
english,40,"1826_Disraeli,Benjamin_VivianGrey_Novel_1.txt",192012,0.0142428786,0.3305214415,0.2150206171
english,136,"1915_Ford,FordMadox_TheGoodSoldier_Novel_1.txt",75160,0.0152671756,0.0384196015,0.2266727413
english,62,"1853_Kingsley,Charles_Hypatia_Novel_1.txt",162505,0.0153473344,0.5048278418,0.2275846064
english,20,"1801_Edgeworth,Maria_Belinda_Novel_1.txt",177667,0.0201342282,0.5848922836,0.2820390078
english,14,"1796_Hays,Mary_EmmaCourtney_Novel_1.txt",62663,0.0201643017,0.7602487643,0.2823811161
english,149,"1928_Woolf,Virginia_Orlando_Novel_1.txt",78383,0.0241809672,0.2883055534,0.3280736104
english,113,"1899_Conrad,Joseph_HeartofDarkness_Novel_1.txt",37906,0.0258327668,0.129696234,0.3468640331
english,53,"1848_Gaskell,Elizabeth_MaryBarton_Novel_1.txt",160447,0.0317231435,0.082738335,0.4138713555
english,123,"1904_Murfree,MaryNoailles_TheFrontiersman_Novel_1.txt",65505,0.0337777778,0.4794709857,0.4372443164
english,97,"1890_Chopin,Kate_AtFault_Novel_1.txt",57552,0.0339961514,0.0467726915,0.439728475
english,96,"1890_Broughton,Rhoda_Alas!_Novel_1.txt",149332,0.0353817505,0.0300873464,0.4554906733
english,55,"1850_Aguilar,Grace_ValeofCedars_Novel_1.txt",92708,0.0374753452,0.4895303673,0.4793068371
english,125,"1905_Wharton,Edith_TheHouseofMirth_Novel_1.txt",129055,0.0411585366,0.2181057362,0.5212058207
english,35,"1821_Galt,John_AnnalsoftheParish_Novel_1.txt",65340,0.0435497124,0.023851957,0.5484071864
english,17,"1798_Wollstonecraft,Mary_Maria_Novel_1.txt",44498,0.0449713818,0.224213259,0.5645797112
english,23,"1806_Edgeworth,Maria_Leonora_Novel_1.txt",65775,0.0505319149,0.0187599256,0.6278348224
english,121,"1903_London,Jack_TheCalloftheWild_Novel_1.txt",31769,0.0506164828,0.3345463315,0.6287968439
english,150,"1930_Mansfield,Katherine_TheAloe_Novel_1.txt",25879,0.0530654302,0.021877568,0.6566554032
english,54,"1849_Kingsley,Charles_AltonLocke_Novel_1.txt",167401,0.0547476476,0.6762132254,0.6757918504
english,134,"1912_Dreiser,Theodore_TheFinancier_Novel_1.txt",193098,0.0564334086,0.5684215415,0.6949686091
english,99,"1891_Doyle,ArthurConan_TheDoingsofRafflesHaw_Novel_1.txt",37932,0.0606860158,0.1015753157,0.7433451124
english,127,"1906_Sinclair,Upton_TheJungle_Novel_1.txt",149019,0.0643910008,0.0214065461,0.7854920132
english,50,"1847_Bronte,Emily_WutheringHeights_Novel_1.txt",115834,0.0644283122,0.0003456805,0.7859164573
english,38,"1823_Cooper,JamesFenimore_ThePioneers_Novel_1.txt",169899,0.064461408,0.000195332,0.7862929463
english,148,"1927_Woolf,Virginia_TotheLighthouse_Novel_1.txt",69285,0.0672379697,0.2367891022,0.8178783569
english,33,"1819_Shelley,Mary_Mathilda_Novel_1.txt",38253,0.0695053225,0.0243688056,0.8436711456
english,108,"1895_Crane,Stephen_TheRedBadgeofCourage_Novel_1.txt",46040,0.0701018574,0.1948605406,0.8504571646
english,128,"1906_Stein,Gertrude_ThreeLives_Novel_1.txt",86056,0.0711790393,0.041596568,0.8627108928
english,75,"1864_Braddon,Mary_HenryDunbar_Novel_1.txt",155180,0.0721510452,0.0458745133,0.8737681673
english,5,"1786_Beckford,William_Vathek_Novel_1.txt",36089,0.07239819,0.0136600921,0.8765796201
english,139,"1917_Lewis,Sinclair_TheInnocents_Novel_1.txt",41300,0.0745257453,0.0006774136,0.9007821094
english,65,"1854_Gaskell,Elizabeth_NorthandSouth_Novel_1.txt",181240,0.0755287009,0.0609596083,0.91219146
english,3,"1778_Burney,Fanny_Evelina_Novel_1.txt",154179,0.0756419153,0.4596916755,0.9134793565
english,70,"1860_Collins,Wilkie_TheWomaninWhite_Novel_1.txt",244579,0.0760790051,0.2367891022,0.918451571
english,63,"1853_Stowe,HarrietBeecher_UncleTom'sCabin_Novel_1.txt",180460,0.0787508486,0.0055388209,0.9488457357
english,1,"1771_Mackenzie,Henry_TheManofFeeling_Novel_1.txt",36445,0.0812544547,0.0036389307,0.977326078
english,73,"1862_Braddon,Mary_LadyAudley'sSecret_Novel_1.txt",147896,0.0832750175,0.0037377501,1.0003114502
english,120,"1903_James,Henry_TheAmbassadors_Novel_1.txt",154789,0.0844099914,0.0001643913,1.0132226044
english,104,"1893_Harraden,Beatrice_ShipsThatPassintheNight_Novel_1.txt",37362,0.0869327501,0.034737743,1.0419208217
english,90,"1885_Barr,Amelia_JanVeeder'sWife_Novel_1.txt",64364,0.0939675174,0.0036389307,1.1219464204
english,21,"1804_Opie,Amelia_AdelineMowbray_Novel_1.txt",106070,0.0965227818,0.2211445382,1.1510144127
english,18,"1799_Brown,CharlesBrockden_ArthurMervyn_Novel_1.txt",148768,0.0992647059,8.03888762481954e-08,1.1822057955
english,15,"1797_Foster,HannahWebster_TheCoquette_Novel_1.txt",52938,0.1034482759,0.0004485268,1.2297969495
english,29,"1815_Peacock,ThomasLove_HeadlongHall_Novel_1.txt",27256,0.1102756892,0.1893412095,1.3074637465
english,46,"1843_Borrow,George_TheBibleinSpain_Novel_1.txt",220352,0.1112185687,0.0046193038,1.3181896866
english,4,"1782_Burney,Fanny_Cecilia_Novel_1.txt",328891,0.114,0.1159071608,1.3498304928
english,147,"1925_Woolf,Virginia_Mrs.Dalloway_Novel_1.txt",63379,0.1155717762,0.0007669809,1.3677105907
english,115,"1900_Dreiser,Theodore_SisterCarrie_Novel_1.txt",156014,0.1162123386,0.0005975536,1.3749974548
english,22,"1805_Lewis,Matthew_TheBravoofVenice_Novel_1.txt",33078,0.1250723798,0.0130408209,1.4757868738
english,6,"1788_Wollstonecraft,Mary_Mary_Novel_1.txt",23285,0.1260014567,5.43765242678888e-07,1.4863557989
english,36,"1821_Peacock,ThomasLove_MaidMarian_Novel_1.txt",35729,0.1280241935,0.0449907593,1.5093659035
english,107,"1894_Kipling,Rudyard_TheJungleBook_Novel_1.txt",51466,0.156045265,3.97823263343991e-05,1.8281259899
english,83,"1876_Twain,Mark_TheAdventuresofTomSawyer_Novel_1.txt",70094,0.1606118547,8.03888762481954e-08,1.8800742714
english,19,"1800_Edgeworth,Maria_CastleRackrent_Novel_1.txt",35593,0.1617725574,0.0004485268,1.8932781097
english,133,"1912_Cather,Willa_Alexander'sBridge_Novel_1.txt",27130,0.1871657754,1.48174892536432e-08,2.1821444498
english,31,"1818_Peacock,ThomasLove_NightmareAbbey_Novel_1.txt",26564,0.2914398812,0.0011729685,3.3683383113
english,143,"1920_Fitzgerald,FScott_ThisSideofParadise_Novel_1.txt",71008,0.3265749457,4.90582249661498e-15,3.7680252463
german,10,"1785_Moritz,KarlPhilipp_AntonReiser_Novel_1.txt",132231,-0.222371065,9.3815146730272e-09,-2.4386985734
german,17,"1791_Klinger,Friedrich_FaustsLeben_Novel_1.txt",64378,-0.2186160441,4.37944812288721e-09,-2.3953744036
german,114,"1887_Fontane,Theodor_Irrungen,Wirrungen_Novel_1.txt",51508,-0.2074353448,1.37581285709432e-09,-2.2663752505
german,9,"1780_Wezel,Johann_HermannundUlrike_Novel_1.txt",258410,-0.181448332,3.24605806407385e-09,-1.9665458239
german,141,"1913_Scheerbart,Paul_LesabendioEinAsteroiderRoman_Novel_1.txt",49858,-0.1592841163,3.45838827903141e-11,-1.7108225475
german,8,"1779_Jacobi,Friedrich_Woldemar_Novel_1.txt",29086,-0.1592356688,3.80360592952251e-08,-1.710263576
german,100,"1867_Marlitt,Eugenie_DasGeheimnisderaltenMamsell_Novel_1.txt",88878,-0.1586345382,3.05599164338369e-09,-1.7033279326
german,54,"1814_Ahlefeld,Charlottevon_MarieMüller_Novel_1.txt",42691,-0.1542197936,1.83552590568553e-07,-1.6523920923
german,150,"1922_Kafka,Franz_DasSchloß_Novel_1.txt",109070,-0.1404662283,0.000182358,-1.4937080757
german,107,"1877_François,Louisevon_StufenjahreeinesGlücklichen_Novel_1.txt",163805,-0.1398373984,2.8939553983361e-08,-1.4864528468
german,62,"1822_Huber,Therese_EllenPercy_Novel_1.txt",88525,-0.1379781421,3.88673355881298e-09,-1.4650013721
german,7,"1779_Campe,Joachim_Robinson_Novel_1.txt",99823,-0.1353887399,1.00519434830407e-09,-1.4351257199
german,105,"1875_Otto,Louise_AnNürnberg_Novel_1.txt",155317,-0.1234662577,1.99484351409381e-09,-1.2975681235
german,87,"1846_Otto,Louise_SchloßundFabrik_Novel_1.txt",113377,-0.1223175966,2.88160749737786e-07,-1.2843152575
german,52,"1812_Fischer,CarolineAuguste_Margarethe_Novel_1.txt",37916,-0.1211353269,0.0001480825,-1.2706746273
german,144,"1914_Keyking,Elisabeth_Tschun_Novel_1.txt",62825,-0.1151170145,0.0164013631,-1.2012373605
german,108,"1880_Spyri,Johanna_HeidesLehrundWanderjahre_Novel_1.txt",51207,-0.1138755981,0.0098160277,-1.1869143142
german,19,"1791_Naubert,Benedikte_AlfvonDülmen_Novel_1.txt",100515,-0.1129980405,4.93770547107252e-07,-1.1767893495
german,68,"1829_Goethe,Johann_WilhelmMeistersWanderjahre_Novel_1.txt",134601,-0.1120543294,1.19251441785328e-12,-1.1659011275
german,131,"1903_Frapan,Ilse_Arbeit_Novel_1.txt",75487,-0.1082164329,2.74028772016554e-06,-1.1216207665
german,71,"1835_Arnim,Bettinevon_Goethe'sBriefwechselMitEinemKinde_Novel_1.txt",130277,-0.1070518267,0.000182358,-1.1081839315
german,30,"1798_La Roche,Sophie von_ErscheinungenamSeeOneida_Novel_1.txt",102776,-0.1065789474,0.0008673055,-1.1027280088
german,109,"1881_Spyri,Johanna_Heidekannbrauchen_Novel_1.txt",37370,-0.1036319613,0.0025516757,-1.0687266728
german,124,"1897_Dohm,Hedwig_SibillaDalmar_Novel_1.txt",80137,-0.0956834532,0.0856670614,-0.9770194567
german,118,"1891_Fontane,Theodor_Unwiederbringlich_Novel_1.txt",81202,-0.0925394548,0.0320111683,-0.9407450587
german,97,"1864_Lewald,Fanny_VonGeschlechtzuGeschlecht_Novel_1.txt",456351,-0.0925070309,0.0049951757,-0.940370963
german,143,"1914_Kafka,Franz_Amerika_Novel_1.txt",83797,-0.0909690178,0.0668122568,-0.922625884
german,92,"1854_Arnim,Achimvon_DieKronenwachterZweiterBand_Novel_1.txt",88298,-0.0908465244,0.0008411549,-0.9212125966
german,119,"1892_Christen,Ada_JungferMutter_Novel_1.txt",39239,-0.0878220141,0.0013206828,-0.8863168116
german,129,"1902_Dohm,Hedwig_ChristaRuland_Novel_1.txt",50588,-0.082278481,0.021877568,-0.8223573892
german,69,"1832_Mörike,Eduard_MalerNolten_Novel_1.txt",132048,-0.0807835821,3.22955230420743e-08,-0.8051097475
german,115,"1889_Boy-Ed,Ida_Fanny Förster_Novel_1.txt",55341,-0.0729411765,0.6413171415,-0.7146267053
german,61,"1822_Bernhardi,Sophie_Evremont_Novel_1.txt",223645,-0.0725423729,0.0018714351,-0.7100254434
german,95,"1861_Spielhagen,Friedrich_ProblematischeNaturen1_Novel_1.txt",133910,-0.0719830628,0.0093531643,-0.7035723116
german,88,"1847_Aston,Louise_AusdemLebeneinerFrau_1.txt",23482,-0.0683624801,0.1140340723,-0.6617992446
german,55,"1815_Eichendorff,Josephvon_AhnungUndGegenwart_Novel_1.txt",97560,-0.0639204545,0.003093811,-0.6105486453
german,103,"1870_Raabe,Wilhelm_DerSchüdderump_Novel_1.txt",116486,-0.0625465376,0.0042689694,-0.594696853
german,125,"1897_Janitschek,Maria_Die Amazonenschlacht_Novel_1.txt",17784,-0.0620155039,0.1866247065,-0.5885699642
german,38,"1801_Fischer,CarolineAuguste_GustavsVerirrungen_Novel_1.txt",19759,-0.0619469027,0.0871622107,-0.5877784664
german,91,"1852_Alexis,Willibald_RuheistdieersteBürgerpflicht_Novel_1.txt",309919,-0.0606600314,6.24373219979011e-05,-0.5729309784
german,75,"1837_Schopenhauer,Johanna_RichardWood_Novel_1.txt",112375,-0.0576164167,0.0001380606,-0.5378147742
german,67,"1827_Hauff,Wilhelm_MemoirendesSatan_Novel_1.txt",89852,-0.0549882168,0.0326752013,-0.5074914862
german,51,"1810_Fouqué,CarolinedelaMotte_DieFraudesFalkensteins_Novel_1.txt",66426,-0.0508250825,0.3678636862,-0.4594586407
german,96,"1861_Spielhagen,Friedrich_ProblematischeNaturen2_Novel_1.txt",125478,-0.0507614213,0.0024134211,-0.4587241393
german,25,"1796_Huber,Therese_FamilieSeldorf_Novel_1.txt",92143,-0.050209205,0.0784964003,-0.4523528531
german,147,"1916_Reventlow,Franziska_DerGeldcomplex_Novel_1.txt",24833,-0.0499276411,0.0175462972,-0.4491042632
german,59,"1820_Hoffmann,E.T.A_LebensAnsichtenDesKatersMurr_Novel_1.txt",134638,-0.0487627365,0.3345463315,-0.4356639855
german,64,"1826_Eichendorff,Josephvon_AusDemLebenEinesTaugenichts_Novel_1.txt",37744,-0.0484530064,0.0576544861,-0.4320904235
german,137,"1910_Rilke,RainerMaria_MalteLauridsBrigge_Novel_1.txt",59287,-0.0484351714,0.0004485268,-0.4318846489
german,42,"1802_Fischer,CarolineAuguste_DieHonigmonathe_Novel_1.txt",34029,-0.0458488228,0.3426894907,-0.4020442275
german,123,"1897_Bierbaum,Otto_Stilpe_Novel_1.txt",59273,-0.0455580866,0.8346259211,-0.3986898104
german,20,"1791_Naubert,Benedikte_DieAmtmanninvonHohenweiler_Novel_1.txt",114342,-0.0431918009,0.0124462578,-0.3713884009
german,149,"1920_Christ,Lena_MadamBäurin_Novel_1.txt",34722,-0.0428090428,0.4308893547,-0.3669722668
german,140,"1912_Reventlow,Franziska_VonPaulzuPedro_Novel_1.txt",20978,-0.0418848168,0.1317649418,-0.356308857
german,45,"1804_Unger,FriederikeHelene_AlbertundAlbertine_Novel_1.txt",44704,-0.0396618986,0.1976636077,-0.3306615736
german,60,"1821_Schopenhauer,Johanna_Gabriele_Novel_1.txt",153488,-0.0387596899,0.011875582,-0.3202521932
german,28,"1796_Tieck,Ludwig_WilliamLovell_Novel_1.txt",160205,-0.0371329879,0.601579286,-0.3014838517
german,106,"1876_EbnerEschenbach,Maria_Bozena_Novel_1.txt",62698,-0.0364806867,0.5684215415,-0.2939578194
german,57,"1817_Arnim,Achimvon_DieKronenwachterErsterBandBertholdsErstesUndZweitesLeben_Novel_1.txt",101053,-0.0335474661,0.2957005619,-0.2601153052
german,111,"1885_Marlitt,Eugenie_DieFraumitdenKarfunkelsteinen_Novel_1.txt",95592,-0.0323599053,0.2304408174,-0.2464136274
german,77,"1841_Hahn-Hahn,Ida_Gräfin Faustine_Novel_1.txt",49789,-0.0293911826,0.5684215415,-0.2121615026
german,121,"1895_Fontane,Theodor_EffieBriest_Novel_1.txt",95305,-0.0259067358,0.3678636862,-0.1719591246
german,127,"1898_Spielhagen,Friedrich_Faustulus_Novel_1.txt",68109,-0.025087108,0.3386023562,-0.162502535
german,35,"1799_Schlegel,Friedrich_Lucinde_Novel_1.txt",30001,-0.0227743271,0.1659118606,-0.1358184458
german,94,"1857_Stifter,Adalbert_DerNachsommer_Novel_1.txt",248722,-0.0214285714,0.6241530149,-0.1202915686
german,37,"1801_Fischer,Caroline Auguste_VierzehnTageinParis_Novel_1.txt",13528,-0.0209205021,0.601579286,-0.1144296352
german,104,"1871_François,Louisevon_DieletzteReckenburgerin_Novel_1.txt",92044,-0.0207667732,0.3551372425,-0.1126559625
german,53,"1812_Fouqué,CarolinedelaMotte_MagiederNatur_Novel_1.txt",41928,-0.0203679369,0.4403730946,-0.1080543239
german,26,"1796_Huber,Therese_Luise_Novel_1.txt",39281,-0.0165582496,0.1684031151,-0.0640994305
german,113,"1887_EbnerEschenbach,Maria_DasGemeindeKind_Novel_1.txt",63860,-0.0164158687,0.8534797596,-0.0624566877
german,90,"1849_Weerth,Georg_RitterSchnapphahnski_Novel_1.txt",47718,-0.0153096729,0.8346259211,-0.0496937727
german,31,"1798_Tieck,Ludwig_FranzSternbaldsWanderungen_Novel_1.txt",102680,-0.0144157815,0.1734688182,-0.0393803535
german,99,"1866_Marlitt,Eugenie_Goldelse_Novel_1.txt",99894,-0.01350278,0.3852634048,-0.0288464488
