word.count,avg.ttr,sd.ttr,FILENAME,LIBRARIES,TITLE,AUTH_LAST,AUTH_FIRST,AUTH_ID,PUBL_CITY,PUBLISHER,PUBL_DATE,Label
104912,0.41661,0.0217208623,00002238.txt,86,The wings of the dove,James,Henry,A_01780,,Westminster : A. Constable & Co.,1902,
88129,0.4547,0.0192298694,00002726.txt,35,The opened shutters,Burnham,Clara Louise,A_00488,Boston/New York,Houghton Mifflin Co.,1906,
67199,0.41107,0.0154894914,00003545.txt,38,Where there's a will,Rinehart,Mary Roberts,A_02912,Indianapolis,Bobbs-Merrill,1912,
43515,0.42803,0.0274735704,00003880.txt,139,More Jonathan papers,Morris,Elisabeth Woodbridge,A_02478,Boston/New York,Houghton Mifflin Co.,1915,
51266,0.44387,0.0296483277,00010336.txt,25,Maza of the moon,Kline,Otis Adelbert,A_01934,Chicago,A.C. McClurg,1930,
43725,0.42273,0.0347768805,00003103.txt,38,Elusive Isabel,Futrelle,Jacques,A_01283,Indianapolis,Bobbs-Merrill Co.,1909,
112624,0.43769,0.023628734,00003269.txt,148,Burning Daylight,London,Jack,A_02113,New York,Grosset & Dunlap,1910,
53929,0.4397,0.0232507196,00001734.txt,57,Imperium in imperio,Griggs,Sutton E.,A_01467,Cincinnati,Editor Pub. Co.,1899,
38650,0.46363,0.039598657,00004412.txt,173,Domnei,Cabell,James Branch,A_00511,New York,McBride,1920,
59701,0.43158,0.0306835197,00010213.txt,22,The cruise of the Jasper B.,Marquis,Don,A_02238,New York/London,D. Appleton & Co.,1923,
102602,0.45492,0.0355955621,00001812.txt,62,A gentleman player,Stephens,Robert Neilson,A_03253,Boston,L.C. Page & Co.,1899,
66385,0.42888,0.0270798595,00011121.txt,30,The safety pin,Fletcher,J. S.,A_01192,New York/London,G.P. Putnam's Sons,1924,
72254,0.41898,0.0229958187,00001032.txt,33,Five little Peppers midway,Lothrop,Harriet Mulford Stone,A_02128,New York,Grosset & Dunlap,1893,
61199,0.46925,0.0282879762,00002225.txt,32,Openings in the old trail,Harte,Bret,A_01577,New York,"""McKinlay, Stone & Mackenzie""",1902,
93164,0.45233,0.0227245495,00000708.txt,28,Over the teacups,Holmes,Oliver Wendell,A_01682,London,"""Sampson Low, Marston, Searle & Rivington""",1890,
68635,0.40713,0.0247670582,00011242.txt,62,The island of Captain Sparrow,Wright,S. Fowler,A_03725,New York,Cosmopolitan Book Corp.,1928,
77572,0.43596,0.0216496063,00011036.txt,242,Harriet Hume,West,Rebecca,A_03574,Garden City/N.Y.,George H. Doran Co.,1929,
68127,0.4477,0.0242330853,00011204.txt,16,Emily's quest,Montgomery,L. M.,A_02448,New York,Grosset & Dunlap,1927,
63110,0.43752,0.0281731587,00000930.txt,327,The American claimant,Twain,Mark,A_03428,New York,"""Charles L. Webster & Co., Press of Jenkins & McCowan""",1892,
54547,0.46045,0.0407662405,00003073.txt,58,The lonesome trail,Bower,B. M.,A_00348,New York,Grosset & Dunlap,1909,
77395,0.47871,0.0288735645,00003246.txt,193,Whirligigs,Henry,O.,A_01630,Garden City/N.Y.,George H. Doran Co.,1910,
88365,0.4528,0.0222465523,00004462.txt,35,The drums of jeopardy,MacGrath,Harold,A_02179,Garden City/New York,"""Doubleday, Page & Co.""",1920,
73018,0.40117,0.0291468088,00003821.txt,86,God's country and the woman,Curwood,James Oliver,A_00821,New York,A.L. Burt Co.,1915,
75623,0.45228,0.01889903,00003169.txt,31,Old rose and silver,Reed,Myrtle,A_02865,New York,Grosset & Dunlap,1909,
137321,0.43116,0.0292932646,00001437.txt,224,Jerome: a poor man,Freeman,Mary Eleanor Wilkins,A_01254,New York/London,Harper & Bros.,1897,
57583,0.43131,0.020866916,00010302.txt,46,The monster men,Burroughs,Edgar Rice,A_00493,New York,Grosset & Dunlap,1929,
50507,0.42449,0.0326662013,00003774.txt,63,Bransford in Arcadia: or: the little eohippus,Rhodes,Eugene Manlove,A_02882,New York,Henry Holt & Co.,1914,
104280,0.36633,0.0608963443,00010303.txt,234,The sound and the fury,Faulkner,William,A_01140,New York,J. Cape & H. Smith,1929,
67646,0.44907,0.0288213778,00003210.txt,49,Young Wallingford,Chester,George Randolph,A_00636,Indianapolis,Bobbs-Merrill Co.,1910,
85085,0.48855,0.0304870812,00002597.txt,103,The storm centre,Murfree,Mary Noailles,A_02514,New York/London,Macmillan Co.,1905,
68887,0.43881,0.0230220338,00011248.txt,15,The crime at Black Dudley,Allingham,Margery,A_00055,London,Heinemann,1929,
84221,0.40673,0.0294192457,00001291.txt,197,Madelon,Freeman,Mary Eleanor Wilkins,A_01254,New York,Harper & Bros.,1896,
71559,0.47832,0.0192274425,00002080.txt,153,Under the skylights,Fuller,Henry Blake,A_01277,New York,D. Appleton & Co.,1901,
105025,0.46971,0.0203009155,00011238.txt,38,Memoirs of a fox-hunting man,Sassoon,Siegfried,A_03030,London,Faber & Faber,1928,
106335,0.45661,0.0256321669,00003264.txt,57,The freebooters of the wilderness,Laut,Agnes C.,A_02000,New York,"""Moffat, Yard & Co.""",1910,
134874,0.43367,0.026542535,00000332.txt,49,Opening a chestnut burr,Roe,Edward Payson,A_02950,New York,"""Dodd, Mead & Co.""",1885,
167171,0.44488,0.0243166319,00010322.txt,891,Hudson river bracketed,Wharton,Edith,A_03582,New York,D. Appleton & Co.,1929,
108631,0.42176,0.0238641441,00004407.txt,102,Tarzan the untamed,Burroughs,Edgar Rice,A_00493,New York,Grosset & Dunlap,1920,
38028,0.42781,0.0257970694,00003236.txt,209,Adventures in friendship,Baker,Ray Stannard,A_00130,Garden City/New York,"""Doubleday, Page & Co.""",1910,
77552,0.43772,0.0207082085,00011113.txt,79,Michael's evil deeds,Oppenheim,E. Phillips,A_02612,Boston,"""Little, Brown & Co.""",1923,
101605,0.40841,0.0365869919,00003173.txt,201,The flute of the gods,Ryan,Marah Ellis,A_03000,New York,Frederick A. Stokes Co.,1909,
173509,0.47173,0.0423107444,00004842.txt,318,The new Machiavelli,Wells,H. G.,A_03563,New York,Duffield & Co.,1910,
59060,0.42537,0.0230877356,00010262.txt,27,Tish plays the game,Rinehart,Mary Roberts,A_02912,New York,Grosset & Dunlap,1926,
73870,0.44861,0.0318861279,00001156.txt,57,The king in yellow,Chambers,Robert W.,A_00604,New York,F.T. Neely,1895,
60823,0.44447,0.0303236598,00004553.txt,87,The blood of the conquerors,Fergusson,Harvey,A_01151,New York,Alfred A. Knopf,1921,
59852,0.40185,0.0196460472,00004837.txt,102,Beggars,Davies,W. H.,A_00858,London,Duckworth,1909,
75248,0.4157,0.0246246571,00004522.txt,47,John Wesley: Jr.,Brummitt,Dan B.,A_00441,Cincinnati/New York,Methodist Book Concernhe Methodist Book Concern,1921,
96817,0.44064,0.0238846217,00003759.txt,158,The Prince of Graustark,McCutcheon,George Barr,A_02321,New York,"""Dodd, Mead & Co.""",1914,
119694,0.48317,0.0236493983,00003906.txt,198,The gray dawn,White,Stewart Edward,A_03604,Garden City/New York,"""Doubleday, Page & Co.""",1915,
100193,0.4243,0.0311974811,00003765.txt,256,Vandover and the brute,Norris,Frank,A_02566,Garden City/N.Y.,"""Doubleday, Page & Co.""",1914,
105675,0.43109,0.028594375,00011268.txt,72,The middle parts of fortune,Manning,Frederic,A_02225,London,Piazza Press : Issued to subscribers by Peter Davies,1929,
79229,0.42282,0.0437593003,00004530.txt,339,Figures of earth,Cabell,James Branch,A_00511,New York,R.M. McBride & Co.,1921,
37765,0.43027,0.0237906929,00001382.txt,55,The ghost of Guir house,Beale,Charles Willing,A_00210,Cincinnati,hio : Editor Pub. Co.,1897,
97045,0.41772,0.0269027729,00002390.txt,143,A forest hearth,Major,Charles,A_02211,New York/London,Macmillan Co.,1903,
89809,0.47803,0.0240229078,00011301.txt,327,Memoirs of an infantry officer,Sassoon,Siegfried,A_03030,New York,"""Coward, McCann, Inc.""",1930,
97789,0.4485,0.0359496,00004601.txt,49,The beloved woman,Norris,Kathleen Thompson,A_02567,Garden City/N.Y./Toronto,"""Doubleday, Page & Co.""",1921,
55525,0.4455,0.0341249931,00003596.txt,56,Andrew the Glad,Daviess,Maria Thompson,A_00859,Indianapolis,,1913,
63976,0.44182,0.0204546209,00011141.txt,21,Poirot investigates,Christie,Agatha,A_00647,,Bodley,1925,
76248,0.45965,0.0264504015,00004298.txt,51,In secret,Chambers,Robert W.,A_00604,New York,George H. Doran Co.,1919,
152947,0.47125,0.0280545554,00001879.txt,263,A friend of Caesar,Davis,William Stearns,A_00879,New York/London,Macmillan Co.,1900,
46993,0.42858,0.0325213776,00003823.txt,42,Over Paradise ridge,Daviess,Maria Thompson,A_00859,New York/London,Harper & Bros.,1915,
65486,0.45702,0.0259377577,00003122.txt,250,Options,Henry,O.,A_01630,New York/London,Harper & Bros.,1909,
78054,0.39592,0.0268913564,00011313.txt,15,Fire below,Mercer,Cecil William,A_02371,London,Hodder & Stoughton Ltd.,1930,
128996,0.45095,0.0222784831,00011258.txt,458,Whiteoaks of Jalna,De la Roche,Mazo,A_00892,Boston,"""Little, Brown, & Co.""",1929,
84496,0.41897,0.0300576735,00002156.txt,62,A soldier of Virginia,Stevenson,Burton Egbert,A_03261,Boston,Houghton Mifflin Co.,1901,
81123,0.49259,0.0272641753,00003562.txt,29,The destroying angel,Vance,Louis Joseph,A_03463,Boston,"""Little, Brown, & Co.""",1912,
94844,0.49279,0.0293482383,00003055.txt,62,The black bag,Vance,Louis Joseph,A_03463,Indianapolis,Bobbs-Merrill Co.,1908,
141348,0.44532,0.0205759888,00011174.txt,221,Bellarion the fortunate,Sabatini,Rafael,A_03001,Boston,Houghton Mifflin Co.,1926,
46773,0.41582,0.0317942819,00011295.txt,25,Powder and patch,Heyer,Georgette,A_01642,London,Heinemann,1930,
219071,0.44659,0.0248055448,00003894.txt,50,Shadows of flames,Rives,Amelie,A_02915,New York,Frederick A. Stokes Co.,1915,
88688,0.46629,0.0333600787,00003515.txt,49,The Lady Doc,Lockhart,Caroline,A_02107,Philadelphia/London,J.B. Lippincott Co.,1912,
55475,0.41417,0.0178331521,00002521.txt,64,In the bishop's carriage,Michelson,Miriam,A_02393,New York,Grosset & Dunlap,1904,
68031,0.4155,0.0246987915,00011187.txt,45,The stepson,Armstrong,Martin,A_00086,London,Jonathan Cape,1927,
78754,0.43219,0.0227936262,00004520.txt,28,The seventh man,Faust,Frederick Schiller,A_01142,New York,G.P. Putnam's Sons,1921,
113664,0.47214,0.0227649474,00002305.txt,131,The blazed trail,White,Stewart Edward,A_03604,New York,Grosset & Dunlap,1902,
101682,0.41508,0.0279048455,00004443.txt,134,Cloudy Jewel,Hill,Grace Livingston,A_01654,New York,Grosset & Dunlap,1920,
39259,0.45836,0.0449069791,00001233.txt,58,A gentleman vagabond,Smith,Francis Hopkinson,A_03173,Cambridge,Printed at the Riverside Press,1895,
92080,0.44627,0.0248826965,00004209.txt,126,Foes,Johnston,Mary,A_01828,New York/London,Harper & Bros.,1918,
101766,0.39311,0.0286856509,00004861.txt,80,Abington abbey,Marshall,Archibald,A_02244,New York,"""Dodd, Mead & Co.""",1917,
60443,0.42429,0.0253561679,00000937.txt,57,Toppleton's client : or: A spirit in exile,Bangs,John Kendrick,A_00148,New York,C.L. Webster,1893,
54715,0.46666,0.036003148,00003864.txt,54,The house of the misty star,Caldwell,Fannie,A_00517,New York,Century Co.,1915,
82148,0.44116,0.0244067883,00004843.txt,113,The following of the star,Barclay,Florence L.,A_00159,New York/London,G.P. Putnam's Sons,1911,
63769,0.44598,0.0328335195,00000620.txt,110,Laramie,King,Charles,A_01908,Philadelphia,J.B. Lippincott Co.,1889,
96629,0.48282,0.026451549,00001703.txt,137,The story of old Fort Loudon,Murfree,Mary Noailles,A_02514,New York/London,Macmillan Co.,1899,
88246,0.41224,0.0287550154,00011123.txt,31,The red thumb mark,Freeman,R. Austin,A_01255,New York/London,Hodder & Stoughtonodder & Stoughton,1924,
104302,0.42569,0.0287056447,00000167.txt,76,Doctor Claudius,Crawford,F. Marion,A_00778,New York,P.F. Collier & Son,1883,
65928,0.44844,0.0268562654,00003279.txt,50,Si Klegg,McElroy,John,A_02328,Washington/D.C.,National tribune Co.,1910,
39968,0.47759,0.0189864891,00001364.txt,30,Marm Lisa,Wiggin,Kate Douglas Smith,A_03620,Boston/New York,Houghton Mifflin Co.,1896,
57602,0.42217,0.0290739409,00003217.txt,281,Once upon a time,Davis,Richard Harding,A_00876,New York,Charles Scribner's Sons,1910,
55704,0.39966,0.0358648473,00004848.txt,170,The crock of gold,Stephens,James,A_03251,London,Macmillan Co.,1912,
117792,0.44501,0.0370330169,00004225.txt,155,Aliens,McFee,William,A_02334,Garden City/New York,"""Doubleday, Page & Co.""",1918,
94916,0.39124,0.0252507106,00003110.txt,150,The glory of the conquered,Glaspell,Susan,A_01373,New York,Frederick A. Stokes Co.,1909,
91307,0.45021,0.0261847727,00000846.txt,57,The goddess of Atvatabar,Bradshaw,William Richard,A_00371,New York,J.F. Douthitt,1892,
120187,0.46604,0.0273646975,00001288.txt,179,The damnation of Theron Ware,Frederic,Harold,A_01246,New York,Stone & Kimball,1896,
111518,0.47554,0.0246180602,00000684.txt,167,In the valley,Frederic,Harold,A_01246,New York,Charles Scribner's Sons,1890,
88727,0.45379,0.0266174906,00002050.txt,138,The marrow of tradition,Chesnutt,Charles W.,A_00635,Boston,Houghton Mifflin Co.,1901,
77616,0.42825,0.0305096027,00001988.txt,91,Quincy Adams Sawyer and Mason's corner folks,Pidgin,Charles Felton,A_02746,Boston,C.M. Clark,1900,
65933,0.46984,0.019431683,00010229.txt,123,Treve,Terhune,Albert Payson,A_03352,New York,Grosset & Dunlap,1924,
104995,0.41983,0.0240970492,00003960.txt,232,A voice in the wilderness,Hill,Grace Livingston,A_01654,New York,Grosset & Dunlap,1916,
49143,0.42234,0.0311419753,00001613.txt,35,The romance of Zion chapel,Le Gallienne,Richard,A_02012,New York/London,John Laneohn Lane,1898,
58285,0.4295,0.0218694473,00004835.txt,376,The man who was Thursday,Chesterton,G. K.,A_00638,New York,"""Dodd, Mead & Co.""",1908,
63146,0.39161,0.0293047019,00003305.txt,178,Samuel the seeker,Sinclair,Upton,A_03151,,"""S.l. : s.n., Western""",1910,
77973,0.44205,0.0266558217,00003484.txt,50,Fran,Ellis,John Breckinridge,A_01076,Indianapolis/New York,"""Bobbs-Merrill Co., Grosset & Dunlap""",1912,
67942,0.46005,0.0307647887,00002675.txt,117,At the sign of the Jack o' Lantern,Reed,Myrtle,A_02865,New York,G.P. Putnam's Sons,1905,
89588,0.49858,0.0324520408,00010291.txt,116,Diversey,Kantor,MacKinlay,A_01859,New York,"""Coward-McCann, Inc.""",1928,
429810,0.45099,0.0452971101,00004016.txt,46,Carmen Ariza,Stocking,Charles Francis,A_03273,Chicago,Maestro Co.,1916,
60058,0.3929,0.0192707975,00000348.txt,154,Little Lord Fauntleroy,Burnett,Frances Hodgson,A_00486,New York,Charles Scribner's Sons,1886,
48653,0.46247,0.0309037133,00002700.txt,41,Fisherman's luck and some other uncertain things,Van Dyke,Henry,A_03450,New York,Grosset & Dunlap,1905,
80145,0.46123,0.0282824338,00002344.txt,156,The one woman,Dixon,Thomas,A_00951,New York,"""Doubleday, Page & Co.""",1903,
129898,0.43077,0.0203250629,00002285.txt,75,Francezka,Seawell,Molly Elliot,A_03074,Indianapolis,Bowen-Merrill Co.,1902,
123231,0.46978,0.0271183638,00000021.txt,57,Hope Mills: or: Between friend and sweetheart,Douglas,Amanda M.,A_00984,Boston,Lee & Shepard,1880,
178822,0.40044,0.0245284086,00002402.txt,401,Gordon Keith,Page,Thomas Nelson,A_02632,New York,Charles Scribner's Sons,1903,
60963,0.44068,0.0301668358,00003054.txt,267,The guest of Quesnay,Tarkington,Booth,A_03336,New York,McClure Co.,1908,
70300,0.41304,0.0260255973,00001345.txt,157,An Arkansas planter,Read,Opie Percival,A_02858,Chicago/New York,"""Rand, McNally & Co.""",1896,
106200,0.45221,0.0257718408,00003908.txt,253,Ruggles of Red Gap,Wilson,Harry Leon,A_03665,Garden City/New York,"""Doubleday, Page & Co.""",1915,
116701,0.41622,0.0280178803,00010318.txt,43,Daughter of earth,Smedley,Agnes,A_03165,New York,Coward-McCann,1929,
52063,0.44011,0.0248896129,00003355.txt,28,Grace Harlowe's senior year at high school,Flower,Jessie Graham,A_01199,Philadelphia,Henry Altemus Co.,1911,
127428,0.44273,0.0348534754,00003277.txt,100,The rose in the ring,McCutcheon,George Barr,A_02321,New York,"""Dodd, Mead & Co.""",1910,
57675,0.43224,0.0307817734,00003966.txt,34,Prudence says so,Hueston,Ethel,A_01726,Indianapolis,Bobbs-Merrill Co.,1916,
112994,0.43134,0.0267680723,00004654.txt,31,The head of the house of Coombe,Burnett,Frances Hodgson,A_00486,New York,A.L. Burt,1922,
54103,0.46511,0.0415699228,00003429.txt,60,The patient observer and his friends,Strunsky,Simeon,A_03301,New York,"""Dodd, Mead & Co.""",1911,
99389,0.44815,0.0195201916,00011105.txt,23,The Freelands,Galsworthy,John,A_01295,London,W. Heinemann Ltd.,1923,
43500,0.43366,0.0346224135,00003831.txt,40,Ruth Fielding on Cliff Island,Emerson,Alice B,A_01086,New York,Cupples & Leon,1915,
47288,0.44762,0.0282827641,00011216.txt,41,The king's passport,Bedford-Jones,H.,A_00227,New York/London,G.P. Putnam's Sons,1928,
40190,0.41291,0.0375930079,00004558.txt,81,Miss Lulu Bett,Gale,Zona,A_01290,New York/London,D. Appleton & Co.,1921,
53768,0.38402,0.0201969995,00001984.txt,57,Peck's Uncle Ike and the red headed boy,Peck,George W.,A_02689,Chicago,Thompson & Thomas,1900,
69662,0.44502,0.0256219524,00003921.txt,55,The phantom herd,Bower,B. M.,A_00348,New York,Grosset,1916,
63818,0.41212,0.03543846,00000294.txt,85,The children of the king,Crawford,F. Marion,A_00778,New York,P.F. Collier & Son,1885,
88301,0.43676,0.0199884411,00004831.txt,239,Beside still waters,Benson,Arthur Christopher,A_00259,New York/London,nd G. Putnam's Sons,1907,
54543,0.43491,0.0346757258,00010305.txt,66,Eve's Ransom,Gissing,George,A_01368,London,Ernest Benn,1929,
116713,0.44677,0.0260864356,00004761.txt,184,Merton of the movies,Wilson,Harry Leon,A_03665,Garden City/N.Y./Toronto,"""Doubleday, Page & Co.""",1922,
73164,0.45255,0.0290799577,00011303.txt,16,The weatherhouse,Shepherd,Nan,A_03107,London,Constable,1930,
57738,0.45695,0.0224514628,00004846.txt,171,Manalive,Chesterton,G. K.,A_00638,New York,John Lane Co.,1912,
43496,0.46088,0.0228226717,00003834.txt,214,Emma McChesney & co.,Ferber,Edna,A_01149,New York,Frederick A. Stokes Co. Publishers,1915,
40541,0.43221,0.0415770661,00004381.txt,427,Ramsey Milholland,Tarkington,Booth,A_03336,Garden City/New York,"""Doubleday, Page & Co.""",1919,
67024,0.45346,0.0228214059,00004874.txt,135,The grey room,Phillpotts,Eden,A_02739,New York,Macmillan Co.,1921,
90734,0.42102,0.0331829882,00004033.txt,444,When a man's a man,Wright,Harold Bell,A_03720,Chicago,Book Supply Co.,1916,
46156,0.4226,0.0218973731,00002167.txt,26,Patty Fairfield,Wells,Carolyn,A_03562,New York,Grosset & Dunlap,1901,
85471,0.43017,0.0226729292,00011161.txt,81,The dancing floor,Buchan,John,A_00449,London,Hodder & Stoughton,1926,
84295,0.44991,0.020837076,00004543.txt,50,When Egypt went broke,Day,Holman,A_00884,New York/London,Harper & Bros.,1921,
122917,0.42681,0.0287938318,00004456.txt,192,The Portygee,Lincoln,Joseph Crosby,A_02079,New York/London,D. Appleton & Co.,1920,
74618,0.43864,0.0273050556,00010233.txt,16,The bandit of Hell's Bend,Burroughs,Edgar Rice,A_00493,Chicago,A.C. McClurg & Co.,1925,
63185,0.45633,0.037219267,00003204.txt,27,The key to yesterday,Buck,Charles Neville,A_00452,New York,Grosset & Dunlap,1910,
52517,0.42825,0.0302148452,00002257.txt,130,Letters from a self-made merchant to his son,Lorimer,George Horace,A_02124,Boston,"""Small, Maynard & Co.""",1902,
111021,0.43013,0.0231707125,00000050.txt,74,A day of fate,Roe,Edward Payson,A_02950,New York,"""Dodd, Mead""",1880,
40884,0.46284,0.0269547769,00000309.txt,141,By shore and sedge,Harte,Bret,A_01577,Boston,Houghton Mifflin Co.,1885,
89402,0.45528,0.0270260181,00003083.txt,74,The cords of vanity,Cabell,James Branch,A_00511,New York,"""Doubleday, Page & Co.""",1909,
77187,0.40692,0.0262834895,00010332.txt,146,The gold shoe,Hill,Grace Livingston,A_01654,New York,Grosset & Dunlap,1930,
63365,0.43761,0.029928499,00011024.txt,1640,Mrs. Dalloway,Woolf,Virginia,A_03708,New York,"""Harcourt, Brace & Co.""",1925,
204537,0.44169,0.0245516133,00000711.txt,218,The tragic muse,James,Henry,A_01780,Boston/New York,Houghton Mifflin Co.,1890,
56124,0.44124,0.0264067331,00002733.txt,56,The tracer of lost persons,Chambers,Robert W.,A_00604,New York,D. Appleton & Co.,1906,
81429,0.49455,0.0423096748,00002628.txt,196,Visionaries,Huneker,James,A_01737,New York,Charles Scribner's Sons,1905,
88676,0.4399,0.0216386766,00004005.txt,45,The social gangster,Reeve,Arthur B.,A_02868,New York,Harper & Bros.,1916,
60670,0.41601,0.0241520834,00011100.txt,67,Red Harvest,Hammett,Dashiell,A_01524,New York/London,Alfred A. Knopf,1929,
73403,0.47855,0.024244285,00001192.txt,38,Their wedding journey,Howells,William Dean,A_01716,Cambridge,Printed at the Riverside Press,1895,
56007,0.39635,0.0318355544,00000861.txt,176,Van Bibber and others,Davis,Richard Harding,A_00876,New York/London,Harper & Bros.,1892,
35427,0.40755,0.0290493745,00001383.txt,54,From a girl's point of view,Bell,Lilian,A_00234,New York/London,Harper & Bros.,1897,
73953,0.40955,0.0232202346,00003473.txt,103,Flower of the north,Curwood,James Oliver,A_00821,New York,Grosset & Dunlap,1912,
